feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.3656307129798903,79.77071619033813
0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,sqrt,9,6,nan,nan,NA,NA,0.5457038391224863,86.86172795295715
0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,27,auto,4,21,nan,nan,NA,NA,0.5877513711151737,93.86510014533997
1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,24,sqrt,16,8,nan,nan,NA,NA,0.573126142595978,100.79496359825134
0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,nnClassifier,relu,NA,9,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.10420475319926874,110.46271514892578
1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,nnClassifier,identity,NA,19,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,0.027422303473491772,123.64292526245117
1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,67,sqrt,6,2,nan,nan,NA,NA,0.6188299817184644,131.56710362434387
0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,33,log2,19,5,nan,nan,NA,NA,0.5475319926873857,138.3688416481018
1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,54,sqrt,10,13,nan,nan,NA,NA,0.5859232175502742,145.24915480613708
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.4405850091407678,150.3233778476715
