,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
10,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,95.0,auto,5.0,19.0,None,None,None,None,0.8805429864253393,ok,39.39114234386943
11,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,nnClassifier,relu,None,20.0,None,None,adaptive,None,None,None,None,1.0,None,adam,None,0.5158371040723982,ok,67.86835843790323
12,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,8.0,auto,20.0,28.0,None,None,None,None,0.8895927601809954,ok,68.37380512198433
13,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,nnClassifier,logistic,None,10.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.5167420814479639,ok,123.02191823208705
14,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,32,None,None,None,None,None,None,6,None,distance,0.8217194570135746,ok,123.32492238888517
15,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,kneighborsClassifier,None,brute,None,None,14,None,None,None,None,None,None,4,None,distance,0.897737556561086,ok,123.5375417820178
16,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,nnClassifier,relu,None,26.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,0.5185520361990951,ok,128.04917000886053
17,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,nnClassifier,relu,None,18.0,None,None,adaptive,None,None,None,None,9.0,None,lbfgs,None,0.49049773755656106,ok,132.01196817704476
18,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,2,None,distance,0.7692307692307693,ok,132.19949408387765
19,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,20,None,None,None,None,None,None,2,None,uniform,0.7936651583710407,ok,132.40946318488568
20,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,9.0,auto,7.0,20.0,None,None,None,None,0.9339366515837104,ok,132.97922180593014
21,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,30.0,auto,9.0,2.0,None,None,None,None,0.9402714932126697,ok,133.57108149700798
22,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,26.0,auto,2.0,5.0,None,None,None,None,0.9420814479638009,ok,134.19893823587336
23,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,37.0,sqrt,2.0,3.0,None,None,None,None,0.9420814479638009,ok,134.92901224689558
24,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,49.0,sqrt,2.0,3.0,None,None,None,None,0.9420814479638009,ok,135.55661855102517
25,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,61.0,sqrt,3.0,8.0,None,None,None,None,0.9420814479638009,ok,136.1691552780103
26,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,72.0,sqrt,4.0,10.0,None,None,None,None,0.9384615384615385,ok,136.77943989494815
27,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,43.0,sqrt,2.0,3.0,None,None,None,None,0.9420814479638009,ok,137.40474074101076
28,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,66.0,sqrt,5.0,9.0,None,None,None,None,0.9393665158371041,ok,138.01056969887577
29,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,57.0,sqrt,20.0,13.0,None,None,None,None,0.92579185520362,ok,138.58736835303716
30,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,83.0,sqrt,4.0,7.0,None,None,None,None,0.9393665158371041,ok,139.29486691206694
31,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,61.0,sqrt,6.0,13.0,None,None,None,None,0.9357466063348416,ok,139.86456365301274
