,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
68,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,9.0,log2,11.0,12.0,None,None,None,None,0.9377289377289377,ok,240.9076046391856
69,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,20.0,log2,11.0,12.0,None,None,None,None,0.938949938949939,ok,242.53737032902427
70,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,22.0,log2,13.0,4.0,None,None,None,None,0.9365079365079365,ok,244.1369544910267
71,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,29.0,log2,15.0,2.0,None,None,None,None,0.9365079365079365,ok,245.83502844208851
72,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,40.0,log2,18.0,5.0,None,None,None,None,0.9365079365079365,ok,247.38860466098413
73,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,15.0,log2,11.0,8.0,None,None,None,None,0.938949938949939,ok,249.01415937114507
74,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,15.0,log2,11.0,8.0,None,None,None,None,0.938949938949939,ok,250.64668046217412
75,0,1,1,1,0,1,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,23,None,None,None,None,None,None,2,None,uniform,0.8021978021978022,ok,250.72576719219796
76,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,21.0,log2,9.0,7.0,None,None,None,None,0.9340659340659341,ok,252.38356335600838
77,0,1,1,1,0,1,1,1,1,1,1,0,nnClassifier,identity,None,13.0,None,None,invscaling,None,None,None,None,3.0,None,sgd,None,0.6117216117216118,ok,256.47059553908184
78,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,49.0,log2,14.0,2.0,None,None,None,None,0.9377289377289377,ok,257.7839268350508
79,1,1,1,0,0,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,37.0,sqrt,3.0,22.0,None,None,None,None,0.9035409035409036,ok,259.189854250988
80,0,1,0,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,17.0,log2,13.0,12.0,None,None,None,None,0.9291819291819292,ok,260.7711565881036
81,0,0,1,1,1,1,0,1,0,0,0,1,kneighborsClassifier,None,auto,None,None,2,None,None,None,None,None,None,9,None,distance,0.7875457875457875,ok,260.83673912705854
