activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,12,gini,1,1,1,24,constant,64,auto,6,29,nnClassifier,9,3,adam,distance,0.9443838604143948,2502.2020238789264
relu,auto,15,gini,1,1,1,18,constant,66,auto,4,11,nnClassifier,10,3,adam,distance,0.9443838604143948,2502.202056759037
relu,auto,13,gini,1,1,1,30,constant,71,auto,7,10,nnClassifier,9,6,adam,distance,0.9432933478735005,2502.2020887979306
relu,auto,9,gini,1,1,1,20,constant,26,auto,6,15,nnClassifier,10,3,adam,distance,0.9400218102508179,2502.20212034788
relu,auto,14,gini,1,1,1,22,constant,74,auto,3,12,nnClassifier,10,1,adam,distance,0.9345692475463467,2502.202152316924
relu,auto,17,gini,1,1,1,16,constant,23,auto,6,10,nnClassifier,9,6,adam,distance,0.9389312977099237,2502.2021835958585
relu,auto,13,gini,1,1,1,22,constant,59,auto,7,17,nnClassifier,5,3,adam,distance,0.9443838604143948,2502.202226294903
relu,auto,11,gini,1,1,1,21,constant,69,auto,3,13,nnClassifier,10,3,adam,distance,0.945474372955289,2502.2022575750016
relu,auto,16,gini,1,1,1,19,constant,43,auto,3,12,nnClassifier,5,2,adam,distance,0.9411123227917121,2502.2022889340296
relu,auto,10,gini,1,1,1,24,constant,23,auto,3,12,nnClassifier,10,4,adam,distance,0.9432933478735005,2502.202319924021
relu,auto,17,gini,1,1,1,20,constant,54,auto,2,17,nnClassifier,6,3,adam,distance,0.9389312977099237,2502.202351032989
relu,auto,9,gini,1,1,1,22,constant,64,auto,3,11,nnClassifier,10,2,adam,distance,0.9400218102508179,2502.202382212039
relu,auto,16,gini,1,1,1,26,constant,31,auto,5,12,nnClassifier,7,5,adam,distance,0.9422028353326063,2502.202413511928
relu,auto,15,gini,1,1,1,24,constant,82,auto,10,11,nnClassifier,10,4,adam,distance,0.9345692475463467,2502.2024443808477
relu,auto,10,gini,1,1,1,20,constant,33,auto,3,22,nnClassifier,9,6,adam,distance,0.9443838604143948,2502.2024755110033
relu,auto,9,gini,1,1,1,18,constant,82,auto,10,12,nnClassifier,7,5,adam,distance,0.9422028353326063,2502.2025067999493
relu,auto,10,gini,1,1,1,26,constant,64,auto,9,15,nnClassifier,10,2,adam,distance,0.9378407851690295,2502.202537888894
relu,auto,9,gini,1,1,1,23,constant,67,auto,5,10,nnClassifier,6,2,adam,distance,0.9400218102508179,2502.2025688788854
relu,auto,9,gini,1,1,1,24,constant,68,auto,2,27,nnClassifier,5,5,adam,distance,0.9432933478735005,2502.2025998979807
relu,auto,16,gini,1,1,1,30,constant,60,auto,4,10,nnClassifier,6,3,adam,distance,0.9422028353326063,3722.845104459906
relu,auto,12,gini,1,1,1,22,constant,64,auto,7,25,nnClassifier,10,3,adam,distance,0.9367502726281353,3722.845160769066
relu,auto,13,gini,1,1,1,20,constant,63,auto,3,11,nnClassifier,10,1,adam,distance,0.9280261723009815,3722.845193617977
relu,auto,17,gini,1,1,1,32,constant,75,auto,9,9,nnClassifier,7,2,adam,distance,0.9389312977099237,3722.845225427067
relu,auto,9,gini,1,1,1,21,constant,22,auto,2,12,nnClassifier,10,1,adam,distance,0.9400218102508179,3722.8452577670105
relu,auto,11,gini,1,1,1,22,constant,70,auto,2,13,nnClassifier,10,1,adam,distance,0.9432933478735005,3722.8452901958954
relu,auto,13,gini,1,1,1,20,constant,27,auto,6,11,nnClassifier,9,2,adam,distance,0.9432933478735005,3722.8453215949703
relu,auto,17,gini,1,1,1,23,constant,58,auto,3,13,nnClassifier,8,3,adam,distance,0.945474372955289,3722.8453529248945
relu,auto,15,gini,1,1,1,22,constant,65,auto,3,12,nnClassifier,6,4,adam,distance,0.9367502726281353,3722.8453841840383
relu,auto,16,gini,1,1,1,18,constant,47,auto,2,13,nnClassifier,7,2,adam,distance,0.9465648854961832,3722.8454152829945
relu,auto,9,gini,1,1,1,22,constant,27,auto,3,11,nnClassifier,10,3,adam,distance,0.9400218102508179,3722.845446313033
relu,auto,21,gini,1,1,1,17,constant,53,auto,6,15,nnClassifier,7,2,adam,distance,0.945474372955289,3722.8454774720594
relu,auto,9,gini,1,1,1,22,constant,64,auto,3,11,nnClassifier,10,2,adam,distance,0.9400218102508179,3722.8455086210743
relu,auto,13,gini,1,1,1,30,constant,35,auto,5,9,nnClassifier,10,8,adam,distance,0.9389312977099237,3722.8455396308564
relu,auto,15,gini,1,1,1,22,constant,78,auto,6,10,nnClassifier,10,3,adam,distance,0.9280261723009815,3722.8455705100205
relu,auto,8,gini,1,1,1,22,constant,37,auto,7,26,nnClassifier,7,4,adam,distance,0.9400218102508179,3722.845601249952
relu,auto,8,gini,1,1,1,20,constant,78,auto,6,13,nnClassifier,10,1,adam,distance,0.9389312977099237,3722.8456320690457
relu,auto,8,gini,1,1,1,25,constant,64,auto,9,16,nnClassifier,10,2,adam,distance,0.9400218102508179,3722.845670407871
relu,auto,9,gini,1,1,1,19,constant,66,auto,3,14,nnClassifier,10,2,adam,distance,0.9422028353326063,3722.8457012479194
relu,auto,9,gini,1,1,1,28,constant,64,auto,2,23,nnClassifier,9,2,adam,distance,0.9443838604143948,3722.845732036978
