activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,31,gini,1,1,1,29,constant,84,auto,7,32,nnClassifier,8,10,adam,distance,0.9515086206896551,1393.0909638530575
relu,auto,19,gini,1,1,1,26,constant,73,auto,16,28,nnClassifier,7,10,adam,distance,0.9504310344827587,1393.090994952945
relu,auto,19,gini,1,1,1,23,constant,61,auto,13,26,nnClassifier,9,4,adam,distance,0.9482758620689655,1393.0910260230303
relu,auto,16,gini,1,1,1,28,constant,88,auto,14,30,nnClassifier,7,10,adam,distance,0.9515086206896551,1393.0910570330452
relu,auto,32,gini,1,1,1,29,constant,52,auto,16,29,nnClassifier,10,10,adam,distance,0.9504310344827587,1825.0745629048906
relu,auto,32,gini,1,1,1,38,constant,54,auto,17,30,nnClassifier,8,10,adam,distance,0.9515086206896551,1825.0746128750034
relu,auto,26,gini,1,1,1,37,constant,52,auto,16,31,nnClassifier,9,8,adam,distance,0.9504310344827587,1825.0746455648914
relu,auto,29,gini,1,1,1,39,constant,85,auto,10,16,nnClassifier,8,6,adam,distance,0.9504310344827587,1825.0746773940045
relu,auto,28,gini,1,1,1,38,constant,53,auto,19,30,nnClassifier,8,10,adam,distance,0.9504310344827587,1825.074708933942
relu,auto,28,gini,1,1,1,33,constant,46,auto,15,23,nnClassifier,5,7,adam,distance,0.9515086206896551,1825.074740453856
relu,auto,22,gini,1,1,1,38,constant,49,auto,10,39,nnClassifier,9,10,adam,distance,0.9525862068965517,1825.0747719029896
relu,auto,29,gini,1,1,1,38,constant,47,auto,16,30,nnClassifier,10,9,adam,distance,0.9515086206896551,1825.0748034028802
relu,auto,32,gini,1,1,1,38,constant,45,auto,17,29,nnClassifier,8,10,adam,distance,0.9515086206896551,1825.074834782863
relu,auto,23,gini,1,1,1,34,constant,56,auto,15,33,nnClassifier,8,10,adam,distance,0.9515086206896551,1825.0748658929951
relu,auto,32,gini,1,1,1,25,constant,40,auto,17,31,nnClassifier,4,10,adam,distance,0.9504310344827587,1825.0748971619178
relu,auto,29,gini,1,1,1,34,constant,50,auto,18,30,nnClassifier,8,10,adam,distance,0.9504310344827587,1825.0749284019694
relu,auto,32,gini,1,1,1,37,constant,42,auto,18,22,nnClassifier,10,10,adam,distance,0.9515086206896551,1825.074959571939
relu,auto,32,gini,1,1,1,40,constant,62,auto,18,29,nnClassifier,10,10,adam,distance,0.9515086206896551,1825.074990761932
relu,auto,26,gini,1,1,1,29,constant,66,auto,18,33,nnClassifier,8,10,adam,distance,0.9504310344827587,1825.0750218110625
relu,auto,30,gini,1,1,1,26,constant,69,auto,8,30,nnClassifier,8,10,adam,distance,0.9515086206896551,1825.075052840868
relu,auto,30,gini,1,1,1,33,constant,80,auto,11,31,nnClassifier,8,10,adam,distance,0.9515086206896551,1825.0750839510001
relu,auto,19,gini,1,1,1,28,constant,77,auto,18,29,nnClassifier,8,10,adam,distance,0.9504310344827587,1825.0751149409916
relu,auto,20,gini,1,1,1,19,constant,57,auto,16,22,nnClassifier,9,2,adam,distance,0.9515086206896551,1825.0751459300518
relu,auto,20,gini,1,1,1,32,constant,92,auto,17,29,nnClassifier,7,10,adam,distance,0.9482758620689655,1825.0751772399526
