activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,23,gini,1,1,1,0,15,adaptive,63,log2,18,37,nnClassifier,6,7,lbfgs,uniform,0.5173611111111112
identity,brute,32,gini,0,0,0,0,37,adaptive,99,log2,4,17,nnClassifier,2,1,lbfgs,distance,0
identity,kd_tree,28,entropy,0,0,0,0,9,constant,42,auto,19,6,nnClassifier,1,9,sgd,distance,0
tanh,auto,22,entropy,0,1,1,1,10,constant,17,log2,18,28,randomForestClassifier,10,9,sgd,uniform,0.8113425925925926
tanh,brute,24,entropy,1,0,0,1,31,invscaling,46,sqrt,8,16,nnClassifier,4,1,lbfgs,uniform,0.5115740740740741
identity,auto,18,entropy,1,0,1,1,38,adaptive,57,auto,13,40,nnClassifier,5,10,lbfgs,uniform,0.5115740740740741
relu,kd_tree,30,entropy,0,1,1,1,15,constant,69,log2,4,4,randomForestClassifier,3,10,adam,distance,0.8043981481481481
relu,brute,22,gini,0,1,0,0,25,invscaling,19,auto,11,2,nnClassifier,9,9,lbfgs,distance,0.47800925925925924
tanh,ball_tree,14,entropy,1,1,1,0,16,adaptive,51,auto,2,19,randomForestClassifier,7,10,lbfgs,distance,0.9895833333333334
relu,auto,17,gini,1,1,1,1,28,adaptive,16,sqrt,20,12,kneighborsClassifier,10,7,adam,uniform,0.9571759259259259
tanh,auto,16,entropy,0,1,1,1,26,adaptive,79,log2,19,31,nnClassifier,5,6,adam,uniform,0.5138888888888888
tanh,ball_tree,31,entropy,0,1,1,1,37,invscaling,73,auto,13,23,kneighborsClassifier,4,8,lbfgs,uniform,0.7604166666666666
relu,brute,18,entropy,0,1,1,0,2,invscaling,15,log2,11,32,randomForestClassifier,7,6,lbfgs,uniform,0.7962962962962963
tanh,auto,30,entropy,0,1,0,0,40,constant,31,auto,18,17,randomForestClassifier,9,5,sgd,uniform,0.6550925925925926
identity,brute,24,entropy,0,0,0,0,26,invscaling,49,log2,15,5,nnClassifier,4,2,sgd,uniform,0
tanh,ball_tree,28,entropy,0,0,1,0,13,adaptive,68,sqrt,18,36,nnClassifier,5,5,sgd,uniform,0.47800925925925924
relu,kd_tree,11,gini,1,1,0,1,28,adaptive,11,sqrt,17,6,kneighborsClassifier,10,1,adam,uniform,1.0
tanh,ball_tree,16,gini,1,0,0,1,7,constant,8,sqrt,2,12,nnClassifier,7,6,adam,uniform,0.5115740740740741
logistic,ball_tree,8,gini,0,1,1,1,11,constant,34,sqrt,9,5,nnClassifier,1,3,adam,distance,0.4710648148148148
logistic,kd_tree,23,gini,1,1,0,1,9,constant,87,auto,7,40,nnClassifier,7,6,sgd,distance,0.5127314814814815
identity,brute,26,entropy,0,0,0,0,13,adaptive,73,log2,7,26,kneighborsClassifier,5,5,lbfgs,uniform,0
relu,auto,11,gini,1,0,0,1,30,invscaling,10,auto,6,32,kneighborsClassifier,10,1,lbfgs,distance,1.0
relu,auto,17,entropy,1,1,1,1,6,invscaling,77,log2,11,40,randomForestClassifier,2,1,sgd,uniform,1.0
tanh,brute,11,entropy,0,1,1,1,25,adaptive,100,auto,5,38,randomForestClassifier,2,8,lbfgs,distance,0.8090277777777778
logistic,auto,27,entropy,0,0,0,1,26,constant,3,auto,16,4,kneighborsClassifier,2,3,sgd,distance,0.5520833333333334
tanh,auto,21,entropy,1,0,0,0,19,invscaling,33,log2,6,10,kneighborsClassifier,3,4,lbfgs,uniform,0.9490740740740741
identity,ball_tree,17,gini,1,1,1,1,14,invscaling,62,auto,4,5,randomForestClassifier,9,2,adam,uniform,1.0
identity,ball_tree,20,entropy,1,1,0,1,23,constant,19,log2,2,23,nnClassifier,4,2,lbfgs,distance,0.5115740740740741
logistic,ball_tree,30,entropy,1,1,0,0,23,adaptive,48,auto,15,18,randomForestClassifier,4,2,lbfgs,distance,0.9861111111111112
identity,ball_tree,28,entropy,1,0,1,0,25,adaptive,30,auto,7,3,randomForestClassifier,1,6,adam,distance,0.9259259259259259
relu,kd_tree,26,gini,0,0,0,0,3,invscaling,71,log2,6,40,randomForestClassifier,2,5,adam,uniform,0
logistic,kd_tree,28,entropy,1,0,1,0,12,constant,42,log2,14,11,kneighborsClassifier,5,6,sgd,uniform,0.8645833333333334
relu,kd_tree,25,gini,0,1,0,1,23,invscaling,34,sqrt,2,37,kneighborsClassifier,7,7,sgd,uniform,0.6539351851851852
logistic,kd_tree,11,entropy,1,1,1,0,16,adaptive,9,sqrt,10,24,kneighborsClassifier,4,1,adam,uniform,0.8414351851851852
relu,ball_tree,11,gini,0,0,1,1,32,adaptive,51,sqrt,19,9,kneighborsClassifier,3,3,adam,distance,0.7164351851851852
logistic,auto,12,gini,0,1,0,1,10,constant,14,log2,15,24,kneighborsClassifier,2,2,sgd,distance,0.6412037037037037
relu,brute,25,gini,1,0,1,0,39,adaptive,94,log2,19,8,nnClassifier,2,2,sgd,distance,0.5081018518518519
tanh,brute,8,entropy,1,1,1,0,7,adaptive,82,log2,18,28,randomForestClassifier,2,1,adam,uniform,0.9803240740740741
relu,kd_tree,17,gini,0,0,1,0,19,adaptive,87,auto,4,3,kneighborsClassifier,6,3,sgd,distance,0.5787037037037037
identity,ball_tree,17,gini,1,1,0,1,16,adaptive,21,auto,11,11,nnClassifier,1,9,adam,distance,0.5127314814814815
identity,kd_tree,21,entropy,0,1,0,1,2,constant,61,auto,3,31,kneighborsClassifier,3,6,adam,uniform,0.6655092592592593
logistic,ball_tree,21,entropy,0,1,0,1,28,adaptive,7,sqrt,3,21,nnClassifier,3,2,adam,uniform,0.4710648148148148
identity,ball_tree,20,entropy,0,1,0,0,27,adaptive,64,sqrt,10,15,kneighborsClassifier,8,7,adam,distance,0.6006944444444444
logistic,brute,23,gini,0,1,0,1,25,constant,53,log2,6,38,kneighborsClassifier,2,5,lbfgs,uniform,0.6342592592592593
relu,auto,25,entropy,0,0,1,0,40,adaptive,78,sqrt,14,35,kneighborsClassifier,8,9,adam,uniform,0.5972222222222222
relu,brute,21,entropy,1,1,0,0,16,constant,37,log2,14,14,nnClassifier,6,3,sgd,distance,0.5057870370370371
relu,brute,8,entropy,1,1,0,0,9,invscaling,95,auto,17,6,kneighborsClassifier,9,9,lbfgs,distance,0.9641203703703703
identity,kd_tree,26,entropy,1,0,1,1,30,adaptive,58,auto,11,32,nnClassifier,6,3,sgd,distance,0.5162037037037037
relu,ball_tree,23,entropy,0,1,1,1,22,invscaling,14,sqrt,10,9,kneighborsClassifier,6,6,adam,uniform,0.7534722222222222
logistic,auto,16,gini,1,0,1,1,4,adaptive,23,auto,12,19,nnClassifier,3,1,adam,uniform,0.5115740740740741
identity,auto,27,entropy,0,0,0,0,18,invscaling,49,auto,9,2,kneighborsClassifier,2,10,lbfgs,uniform,0
logistic,brute,11,entropy,1,0,0,1,17,constant,82,auto,18,13,kneighborsClassifier,5,8,adam,distance,1.0
identity,ball_tree,27,gini,0,1,0,1,6,constant,14,auto,13,9,kneighborsClassifier,3,6,sgd,distance,0.6377314814814815
identity,brute,21,gini,1,0,1,1,19,invscaling,19,sqrt,8,14,kneighborsClassifier,6,9,adam,uniform,0.9606481481481481
relu,kd_tree,25,entropy,1,1,0,0,4,invscaling,58,auto,17,5,kneighborsClassifier,9,1,lbfgs,distance,0.9675925925925926
relu,brute,11,entropy,0,0,1,0,22,invscaling,14,log2,13,2,randomForestClassifier,6,8,adam,distance,0.6180555555555556
identity,ball_tree,25,entropy,0,1,1,0,38,adaptive,13,sqrt,12,7,kneighborsClassifier,6,3,sgd,distance,0.6319444444444444
relu,kd_tree,23,entropy,1,0,1,0,3,adaptive,20,auto,8,37,kneighborsClassifier,8,4,lbfgs,distance,0.8449074074074074
tanh,auto,21,entropy,1,0,1,1,16,invscaling,3,sqrt,12,30,kneighborsClassifier,4,8,lbfgs,distance,0.9768518518518519
tanh,kd_tree,26,entropy,0,0,1,1,19,constant,74,sqrt,8,17,kneighborsClassifier,8,7,lbfgs,uniform,0.7581018518518519
identity,auto,12,gini,0,0,1,1,24,adaptive,41,sqrt,13,18,nnClassifier,8,3,adam,distance,0.4710648148148148
relu,ball_tree,30,gini,1,0,1,1,7,adaptive,64,sqrt,7,34,randomForestClassifier,6,8,sgd,uniform,1.0
relu,ball_tree,15,entropy,0,0,1,0,10,adaptive,9,sqrt,9,27,randomForestClassifier,5,8,adam,distance,0.6273148148148148
identity,auto,14,gini,1,1,1,0,13,invscaling,95,sqrt,19,14,kneighborsClassifier,1,9,adam,distance,0.8622685185185185
logistic,kd_tree,27,entropy,0,0,1,0,6,adaptive,8,sqrt,6,5,randomForestClassifier,7,5,lbfgs,uniform,0.6377314814814815
tanh,auto,23,entropy,0,0,1,1,4,invscaling,32,log2,5,32,kneighborsClassifier,5,5,sgd,uniform,0.7465277777777778
identity,brute,9,gini,1,0,1,1,35,invscaling,98,log2,20,9,nnClassifier,6,4,adam,uniform,0.5162037037037037
identity,ball_tree,26,entropy,0,0,1,1,7,invscaling,51,log2,16,30,nnClassifier,1,1,lbfgs,distance,0.4710648148148148
tanh,auto,9,entropy,0,0,1,1,40,adaptive,36,log2,6,25,kneighborsClassifier,5,7,adam,distance,0.7152777777777778
relu,brute,30,entropy,0,0,1,1,34,invscaling,69,auto,5,19,kneighborsClassifier,4,4,lbfgs,distance,0.7083333333333334
relu,ball_tree,16,gini,1,0,0,0,6,adaptive,65,log2,4,20,randomForestClassifier,1,10,adam,uniform,0.9583333333333334
relu,ball_tree,19,gini,0,0,1,0,7,adaptive,27,auto,19,14,randomForestClassifier,2,1,sgd,uniform,0.6180555555555556
identity,brute,22,entropy,1,1,1,1,8,constant,65,auto,13,24,kneighborsClassifier,4,10,adam,uniform,0.9456018518518519
relu,auto,21,entropy,0,0,0,1,14,constant,30,auto,11,25,nnClassifier,1,10,lbfgs,uniform,0.4710648148148148
relu,kd_tree,24,gini,1,0,0,1,10,invscaling,83,auto,10,19,randomForestClassifier,9,5,lbfgs,uniform,1.0
logistic,kd_tree,14,gini,0,1,0,1,9,constant,34,auto,11,14,nnClassifier,4,4,adam,uniform,0.4710648148148148
tanh,kd_tree,17,gini,0,0,0,0,29,invscaling,88,log2,3,27,nnClassifier,1,3,sgd,distance,0
identity,auto,15,gini,0,0,0,0,9,adaptive,32,log2,6,26,randomForestClassifier,1,10,lbfgs,uniform,0
tanh,ball_tree,13,entropy,1,1,0,0,3,adaptive,28,sqrt,9,25,randomForestClassifier,3,2,sgd,distance,0.9849537037037037
tanh,kd_tree,26,gini,1,1,0,0,11,invscaling,56,log2,7,3,randomForestClassifier,8,2,sgd,uniform,0.9861111111111112
relu,ball_tree,20,gini,1,0,1,0,21,constant,77,log2,20,16,randomForestClassifier,5,3,adam,uniform,0.9085648148148148
identity,brute,32,gini,0,0,0,0,21,adaptive,70,sqrt,8,5,nnClassifier,8,2,lbfgs,distance,0
