activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,21,gini,0,0,1,1,3,adaptive,96,log2,10,11,kneighborsClassifier,7,2,adam,uniform,0.7002314814814815
identity,auto,21,entropy,0,0,1,0,16,invscaling,73,sqrt,4,19,nnClassifier,5,4,adam,distance,0.5532407407407407
identity,kd_tree,23,entropy,1,0,1,0,7,adaptive,82,sqrt,17,9,randomForestClassifier,1,4,lbfgs,distance,0.9201388888888888
identity,auto,23,gini,0,1,0,0,26,invscaling,11,auto,8,9,kneighborsClassifier,2,4,adam,uniform,0.6018518518518519
logistic,kd_tree,28,entropy,1,0,1,0,26,constant,76,auto,13,32,kneighborsClassifier,7,6,lbfgs,distance,0.8668981481481481
logistic,brute,8,entropy,0,0,0,0,35,adaptive,74,sqrt,9,29,kneighborsClassifier,3,4,sgd,distance,0
tanh,brute,30,entropy,1,0,1,0,29,constant,45,sqrt,19,12,kneighborsClassifier,7,2,adam,uniform,0.8692129629629629
tanh,ball_tree,29,gini,1,1,1,0,30,adaptive,34,log2,17,32,randomForestClassifier,4,7,lbfgs,distance,0.9745370370370371
relu,ball_tree,9,gini,0,0,1,0,3,constant,3,sqrt,11,18,randomForestClassifier,6,7,adam,distance,0.6307870370370371
relu,kd_tree,29,gini,0,1,0,1,38,constant,84,sqrt,3,13,randomForestClassifier,3,2,adam,uniform,0.6180555555555556
identity,kd_tree,19,gini,1,0,0,1,8,constant,89,log2,11,21,nnClassifier,4,1,adam,uniform,0.5196759259259259
logistic,auto,26,entropy,1,0,1,1,30,constant,14,log2,8,27,kneighborsClassifier,10,4,adam,distance,0.9849537037037037
tanh,brute,16,entropy,1,1,0,1,25,constant,21,log2,11,19,nnClassifier,2,6,sgd,uniform,0.5196759259259259
identity,auto,30,entropy,0,0,1,1,3,constant,88,log2,15,8,randomForestClassifier,5,4,adam,distance,0.7511574074074074
relu,auto,10,gini,1,1,0,1,39,constant,81,log2,9,22,randomForestClassifier,8,2,adam,distance,1.0
relu,brute,23,gini,1,0,1,1,26,constant,62,auto,15,8,kneighborsClassifier,5,9,sgd,distance,0.9814814814814815
identity,kd_tree,30,gini,1,0,1,1,38,adaptive,23,log2,2,18,kneighborsClassifier,8,10,sgd,distance,0.9791666666666666
logistic,ball_tree,17,gini,1,0,1,1,13,adaptive,47,log2,19,35,randomForestClassifier,7,10,lbfgs,uniform,1.0
identity,auto,8,entropy,0,1,1,0,35,invscaling,31,log2,18,40,randomForestClassifier,5,1,lbfgs,distance,0.7696759259259259
tanh,brute,31,entropy,0,0,1,0,12,constant,54,log2,18,32,kneighborsClassifier,6,7,lbfgs,distance,0.5798611111111112
tanh,kd_tree,11,entropy,0,0,1,0,7,adaptive,83,log2,9,32,randomForestClassifier,5,9,lbfgs,distance,0.6053240740740741
relu,auto,24,entropy,1,0,1,0,6,adaptive,34,log2,11,26,kneighborsClassifier,5,8,sgd,distance,0.8692129629629629
identity,brute,10,gini,0,0,0,0,17,constant,71,auto,20,21,kneighborsClassifier,5,7,adam,distance,0
logistic,auto,26,gini,1,1,1,1,14,constant,9,auto,12,29,nnClassifier,10,7,sgd,uniform,0.5208333333333334
tanh,kd_tree,19,gini,1,0,1,0,23,constant,96,sqrt,6,14,randomForestClassifier,7,7,sgd,uniform,0.9432870370370371
relu,brute,25,entropy,1,1,0,1,3,invscaling,10,sqrt,8,8,nnClassifier,5,1,sgd,uniform,0.37037037037037035
logistic,kd_tree,10,gini,0,0,1,0,32,constant,91,auto,4,25,nnClassifier,2,4,sgd,uniform,0.5532407407407407
relu,auto,10,entropy,0,0,1,0,19,invscaling,94,log2,6,10,randomForestClassifier,4,1,lbfgs,uniform,0.6041666666666666
tanh,brute,21,entropy,1,0,1,1,11,adaptive,66,log2,5,14,nnClassifier,2,3,adam,uniform,0.5196759259259259
relu,kd_tree,9,gini,0,0,0,0,22,constant,11,log2,7,13,kneighborsClassifier,9,1,sgd,distance,0
logistic,ball_tree,23,gini,1,1,0,0,21,adaptive,41,log2,15,33,randomForestClassifier,7,1,lbfgs,distance,0.9849537037037037
relu,auto,23,entropy,0,1,0,1,17,constant,2,auto,14,29,randomForestClassifier,9,6,adam,distance,0.6701388888888888
tanh,brute,22,entropy,1,1,1,0,26,invscaling,51,auto,17,14,nnClassifier,9,1,sgd,distance,0.5254629629629629
tanh,brute,16,entropy,0,0,1,1,30,invscaling,22,sqrt,5,13,randomForestClassifier,1,4,adam,uniform,0.7256944444444444
logistic,auto,8,entropy,1,1,1,1,17,invscaling,78,sqrt,6,12,nnClassifier,6,8,adam,distance,0.5208333333333334
tanh,brute,17,gini,1,1,0,0,32,constant,6,log2,20,36,nnClassifier,3,4,sgd,uniform,0.5127314814814815
tanh,kd_tree,15,gini,0,0,1,1,6,adaptive,37,log2,4,20,nnClassifier,5,8,adam,distance,0.5
relu,auto,15,entropy,1,1,0,1,13,invscaling,80,auto,16,2,nnClassifier,6,1,lbfgs,uniform,0.5196759259259259
logistic,kd_tree,14,gini,1,1,1,1,28,adaptive,42,sqrt,19,12,randomForestClassifier,1,9,adam,uniform,1.0
identity,ball_tree,16,entropy,0,0,1,0,23,constant,77,log2,4,31,kneighborsClassifier,8,10,adam,distance,0.5810185185185185
relu,ball_tree,15,entropy,0,1,0,1,10,invscaling,99,sqrt,15,15,nnClassifier,5,10,lbfgs,distance,0.47453703703703703
tanh,auto,21,gini,1,1,1,0,37,adaptive,32,sqrt,9,34,randomForestClassifier,1,1,sgd,distance,0.9826388888888888
logistic,brute,10,entropy,1,1,1,1,5,constant,12,log2,13,9,nnClassifier,10,10,lbfgs,uniform,0.5196759259259259
logistic,brute,8,gini,0,0,0,0,30,invscaling,54,log2,5,36,kneighborsClassifier,5,4,lbfgs,uniform,0
relu,kd_tree,28,gini,1,0,0,0,30,invscaling,24,auto,6,8,nnClassifier,10,3,adam,distance,0.5173611111111112
identity,auto,27,gini,0,0,0,0,9,adaptive,30,auto,14,18,nnClassifier,8,10,adam,uniform,0
relu,ball_tree,23,gini,1,0,0,0,9,constant,5,sqrt,10,22,randomForestClassifier,6,5,sgd,distance,0.90625
logistic,brute,15,gini,0,1,1,0,6,invscaling,38,log2,12,32,randomForestClassifier,2,4,lbfgs,uniform,0.7719907407407407
identity,auto,17,gini,1,0,0,1,35,invscaling,36,auto,4,30,randomForestClassifier,5,7,adam,uniform,1.0
tanh,auto,9,entropy,0,1,0,1,18,invscaling,52,auto,15,22,kneighborsClassifier,7,6,lbfgs,uniform,0.6261574074074074
identity,brute,31,gini,0,1,1,0,32,invscaling,39,sqrt,5,36,kneighborsClassifier,5,5,sgd,distance,0.65625
logistic,ball_tree,18,gini,0,1,1,1,18,invscaling,23,log2,15,25,nnClassifier,4,2,lbfgs,uniform,0.5173611111111112
logistic,ball_tree,8,gini,0,1,1,0,13,adaptive,4,log2,20,23,randomForestClassifier,2,7,adam,uniform,0.6990740740740741
relu,ball_tree,21,entropy,1,0,0,1,37,constant,48,sqrt,13,18,nnClassifier,10,8,lbfgs,uniform,0.5196759259259259
tanh,auto,30,gini,0,1,0,1,5,invscaling,87,sqrt,10,28,randomForestClassifier,7,5,sgd,uniform,0.6030092592592593
logistic,auto,29,entropy,0,1,1,0,26,constant,50,auto,12,4,kneighborsClassifier,9,5,adam,uniform,0.6423611111111112
relu,auto,29,entropy,0,0,0,0,24,invscaling,51,sqrt,12,32,randomForestClassifier,8,1,adam,distance,0
tanh,brute,28,entropy,0,0,1,0,14,adaptive,49,log2,14,30,randomForestClassifier,1,9,sgd,uniform,0.6099537037037037
relu,ball_tree,23,entropy,1,0,1,0,9,adaptive,77,log2,10,4,nnClassifier,2,7,adam,distance,0.5115740740740741
logistic,kd_tree,11,entropy,1,1,1,1,15,invscaling,80,auto,10,7,kneighborsClassifier,2,1,adam,uniform,0.9826388888888888
identity,brute,16,gini,0,1,1,1,18,constant,71,sqrt,8,4,nnClassifier,3,10,sgd,uniform,0.47453703703703703
relu,auto,28,entropy,0,1,0,0,34,constant,57,sqrt,5,36,randomForestClassifier,7,1,sgd,distance,0.5960648148148148
tanh,brute,32,entropy,0,1,0,0,21,adaptive,69,auto,9,28,nnClassifier,10,8,lbfgs,distance,0.5266203703703703
tanh,ball_tree,10,entropy,0,0,0,0,38,invscaling,10,sqrt,13,38,kneighborsClassifier,4,8,lbfgs,distance,0
logistic,auto,29,gini,0,0,1,0,39,adaptive,49,auto,10,29,kneighborsClassifier,7,2,sgd,distance,0.5717592592592593
logistic,auto,30,entropy,1,0,1,1,19,adaptive,1,auto,18,13,nnClassifier,9,4,adam,uniform,0.5150462962962963
logistic,auto,20,gini,0,0,0,1,16,adaptive,69,auto,20,35,randomForestClassifier,5,8,lbfgs,distance,0.6701388888888888
identity,kd_tree,28,gini,1,1,0,1,11,invscaling,7,sqrt,18,5,nnClassifier,4,6,lbfgs,uniform,0.5196759259259259
identity,ball_tree,24,gini,1,0,0,0,20,constant,43,log2,2,4,randomForestClassifier,7,10,sgd,uniform,0.9490740740740741
identity,brute,26,gini,0,0,1,0,20,invscaling,47,log2,19,6,randomForestClassifier,9,1,adam,distance,0.6145833333333334
identity,brute,25,entropy,1,1,1,1,3,adaptive,36,log2,8,16,nnClassifier,7,10,adam,uniform,0.5219907407407407
identity,brute,13,gini,1,1,1,1,17,adaptive,39,sqrt,2,36,nnClassifier,7,7,sgd,uniform,0.5208333333333334
relu,kd_tree,18,entropy,0,0,1,0,30,adaptive,15,log2,15,13,randomForestClassifier,8,2,sgd,uniform,0.6168981481481481
