activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,18,entropy,1,0,1,1,5,invscaling,76,log2,16,19,nnClassifier,2,2,sgd,uniform,0.44328703703703703
logistic,brute,20,gini,1,0,0,0,22,invscaling,27,log2,8,18,kneighborsClassifier,4,5,sgd,uniform,0.9236111111111112
tanh,kd_tree,31,entropy,0,0,0,0,5,invscaling,33,sqrt,15,15,randomForestClassifier,1,9,sgd,uniform,0
logistic,kd_tree,21,gini,1,0,0,0,17,invscaling,65,auto,13,7,nnClassifier,5,1,adam,distance,0.44907407407407407
tanh,ball_tree,19,gini,0,1,0,1,22,constant,54,sqrt,18,24,randomForestClassifier,9,2,adam,distance,0.6597222222222222
tanh,kd_tree,22,entropy,0,1,0,0,18,invscaling,53,auto,18,31,nnClassifier,3,7,sgd,uniform,0.5439814814814815
relu,brute,28,entropy,1,1,0,0,27,constant,47,sqrt,19,4,randomForestClassifier,5,3,adam,distance,0.9791666666666666
logistic,auto,12,gini,1,1,1,1,11,constant,2,auto,6,10,kneighborsClassifier,7,8,lbfgs,uniform,0.9652777777777778
identity,brute,24,entropy,0,1,1,1,11,invscaling,8,log2,11,11,nnClassifier,7,8,adam,uniform,0.4363425925925926
relu,brute,13,entropy,0,0,1,0,6,invscaling,29,auto,13,31,nnClassifier,1,5,sgd,uniform,0.48032407407407407
identity,ball_tree,23,gini,1,0,1,1,21,adaptive,91,sqrt,19,16,nnClassifier,7,7,lbfgs,uniform,0.44328703703703703
tanh,ball_tree,13,entropy,0,1,0,0,16,adaptive,92,log2,7,28,randomForestClassifier,5,3,adam,distance,0.6331018518518519
relu,auto,22,entropy,1,1,1,0,29,adaptive,57,sqrt,16,40,nnClassifier,7,10,lbfgs,uniform,0.4513888888888889
identity,kd_tree,23,entropy,0,0,1,1,17,constant,10,auto,17,37,nnClassifier,2,7,lbfgs,distance,0.4363425925925926
logistic,ball_tree,11,gini,0,0,0,1,20,constant,39,auto,8,11,nnClassifier,10,9,lbfgs,uniform,0.4363425925925926
logistic,kd_tree,15,gini,0,1,0,1,38,adaptive,76,log2,19,34,nnClassifier,10,10,sgd,uniform,0.4363425925925926
relu,brute,14,gini,1,1,1,0,17,adaptive,58,log2,20,29,randomForestClassifier,2,9,adam,uniform,0.9456018518518519
logistic,brute,25,gini,0,0,1,0,21,invscaling,70,log2,11,10,kneighborsClassifier,3,8,sgd,uniform,0.6284722222222222
logistic,brute,17,entropy,1,1,1,0,33,constant,93,sqrt,9,7,randomForestClassifier,10,2,adam,distance,0.9780092592592593
logistic,ball_tree,30,entropy,1,1,0,1,17,invscaling,2,sqrt,20,13,nnClassifier,9,1,adam,uniform,0.44328703703703703
identity,kd_tree,16,entropy,1,0,0,0,33,adaptive,74,auto,3,30,randomForestClassifier,2,8,lbfgs,distance,0.9293981481481481
logistic,kd_tree,28,entropy,0,0,0,0,18,invscaling,97,sqrt,5,18,nnClassifier,1,4,adam,distance,0
identity,kd_tree,31,entropy,1,1,1,0,30,adaptive,44,sqrt,3,2,kneighborsClassifier,10,6,sgd,distance,0.8645833333333334
relu,brute,13,entropy,0,0,1,1,38,constant,54,sqrt,5,5,kneighborsClassifier,3,10,adam,distance,0.7546296296296297
logistic,brute,11,entropy,1,0,1,0,28,adaptive,94,log2,9,40,randomForestClassifier,3,10,lbfgs,uniform,0.8946759259259259
relu,ball_tree,10,entropy,1,0,0,1,12,constant,53,auto,2,17,randomForestClassifier,5,8,adam,distance,1.0
logistic,auto,12,entropy,0,0,0,0,33,invscaling,61,auto,12,20,kneighborsClassifier,1,10,adam,uniform,0
logistic,brute,16,gini,1,1,0,1,29,adaptive,27,sqrt,8,6,nnClassifier,1,10,lbfgs,distance,0.44328703703703703
relu,ball_tree,24,gini,0,0,0,0,9,adaptive,51,log2,4,29,kneighborsClassifier,6,1,sgd,distance,0
relu,kd_tree,26,gini,1,0,0,0,7,adaptive,57,sqrt,15,40,kneighborsClassifier,4,3,adam,uniform,0.9293981481481481
identity,brute,21,gini,0,1,0,0,39,adaptive,67,sqrt,7,26,kneighborsClassifier,7,8,sgd,distance,0.6145833333333334
tanh,brute,8,gini,1,1,0,0,34,constant,27,auto,14,15,kneighborsClassifier,9,7,sgd,distance,0.9675925925925926
tanh,ball_tree,28,gini,1,1,1,0,37,constant,77,sqrt,7,4,kneighborsClassifier,10,10,sgd,distance,0.8657407407407407
tanh,ball_tree,19,gini,1,1,0,1,22,adaptive,55,auto,9,31,kneighborsClassifier,2,10,lbfgs,distance,1.0
relu,ball_tree,31,gini,1,1,0,0,18,adaptive,22,sqrt,8,7,randomForestClassifier,5,10,adam,uniform,0.9872685185185185
relu,ball_tree,14,gini,1,0,1,0,25,constant,7,sqrt,2,14,nnClassifier,8,1,sgd,uniform,0.4479166666666667
tanh,brute,27,entropy,0,1,1,1,16,constant,66,log2,15,30,randomForestClassifier,4,7,lbfgs,uniform,0.8078703703703703
relu,auto,28,gini,0,0,0,1,7,constant,46,auto,5,5,randomForestClassifier,2,2,sgd,uniform,0.7037037037037037
logistic,ball_tree,29,entropy,1,1,1,1,27,adaptive,79,sqrt,18,32,nnClassifier,9,2,lbfgs,distance,0.44328703703703703
relu,auto,21,entropy,1,0,1,1,31,constant,37,sqrt,8,40,nnClassifier,5,9,sgd,distance,0.4444444444444444
tanh,ball_tree,19,gini,0,0,0,1,7,invscaling,46,log2,18,25,nnClassifier,7,10,lbfgs,distance,0.4363425925925926
relu,kd_tree,30,gini,1,1,1,1,14,invscaling,3,sqrt,10,4,kneighborsClassifier,5,4,adam,uniform,0.9768518518518519
logistic,auto,23,gini,0,1,1,1,10,invscaling,24,log2,13,20,randomForestClassifier,8,5,lbfgs,uniform,0.8182870370370371
logistic,brute,30,gini,0,1,1,0,15,adaptive,99,auto,15,30,randomForestClassifier,6,8,lbfgs,distance,0.7997685185185185
identity,auto,28,entropy,0,0,1,0,20,constant,53,sqrt,20,26,randomForestClassifier,1,3,lbfgs,distance,0.6550925925925926
logistic,auto,21,entropy,0,1,0,1,6,adaptive,64,sqrt,13,27,kneighborsClassifier,4,8,adam,distance,0.6516203703703703
tanh,ball_tree,30,gini,1,0,1,1,32,invscaling,82,sqrt,9,37,randomForestClassifier,6,7,lbfgs,uniform,1.0
relu,kd_tree,16,gini,0,0,0,0,22,invscaling,12,auto,10,18,kneighborsClassifier,2,5,sgd,distance,0
relu,ball_tree,32,gini,1,1,0,0,17,adaptive,16,auto,16,5,kneighborsClassifier,5,9,adam,uniform,0.9432870370370371
tanh,ball_tree,29,gini,0,1,0,1,7,adaptive,50,log2,5,13,randomForestClassifier,4,3,lbfgs,distance,0.6481481481481481
logistic,ball_tree,30,gini,1,1,1,1,21,invscaling,52,log2,12,40,nnClassifier,8,6,sgd,uniform,0.5439814814814815
tanh,kd_tree,30,entropy,1,1,0,1,22,constant,21,log2,3,19,randomForestClassifier,2,6,adam,uniform,1.0
relu,brute,11,entropy,1,1,0,0,39,constant,30,auto,3,22,nnClassifier,2,3,sgd,uniform,0.45601851851851855
relu,kd_tree,15,entropy,1,0,0,0,17,adaptive,88,sqrt,10,37,nnClassifier,8,5,lbfgs,distance,0.44907407407407407
identity,kd_tree,31,entropy,1,1,0,0,17,constant,56,auto,17,14,nnClassifier,5,3,lbfgs,distance,0.4652777777777778
logistic,auto,16,entropy,1,1,1,0,33,invscaling,68,log2,5,35,nnClassifier,5,1,adam,uniform,0.44907407407407407
logistic,ball_tree,32,gini,1,0,0,0,24,adaptive,96,auto,10,34,kneighborsClassifier,10,3,lbfgs,uniform,0.9293981481481481
relu,auto,26,gini,1,0,1,0,13,constant,8,sqrt,9,22,nnClassifier,1,2,lbfgs,uniform,0.5439814814814815
tanh,auto,28,entropy,0,0,0,1,32,constant,3,sqrt,19,24,kneighborsClassifier,7,4,adam,distance,0.7037037037037037
identity,auto,12,gini,1,0,1,1,35,constant,91,auto,7,12,nnClassifier,2,10,adam,uniform,0.4409722222222222
logistic,kd_tree,29,gini,1,1,0,0,38,constant,52,sqrt,3,11,nnClassifier,8,10,sgd,uniform,0.44560185185185186
relu,brute,19,gini,0,1,1,1,29,adaptive,36,log2,16,29,kneighborsClassifier,6,4,lbfgs,distance,0.7800925925925926
tanh,kd_tree,17,gini,1,0,0,0,10,invscaling,6,sqrt,4,34,nnClassifier,8,1,lbfgs,distance,0.4525462962962963
identity,auto,23,entropy,0,0,0,1,27,constant,67,auto,8,39,nnClassifier,2,1,lbfgs,uniform,0.4363425925925926
relu,auto,15,gini,1,1,1,0,13,invscaling,23,sqrt,18,23,nnClassifier,5,10,adam,uniform,0.4513888888888889
relu,auto,10,entropy,1,0,0,0,22,invscaling,70,log2,19,39,randomForestClassifier,10,8,lbfgs,distance,0.9178240740740741
tanh,kd_tree,31,entropy,1,0,1,1,12,constant,73,sqrt,15,39,nnClassifier,9,10,lbfgs,uniform,0.44328703703703703
tanh,brute,32,gini,0,0,0,0,35,constant,81,sqrt,5,16,nnClassifier,10,2,lbfgs,distance,0
logistic,auto,17,entropy,0,0,0,1,3,adaptive,57,log2,2,14,kneighborsClassifier,4,6,adam,uniform,0.7037037037037037
