activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,27,gini,1,0,0,1,35,constant,25,auto,15,4,kneighborsClassifier,5,4,sgd,distance,1.0
tanh,auto,9,gini,1,1,1,1,10,adaptive,90,log2,5,33,randomForestClassifier,8,2,adam,distance,1.0
relu,ball_tree,15,entropy,1,0,1,1,27,constant,82,auto,17,33,kneighborsClassifier,10,4,sgd,uniform,0.9722222222222222
tanh,brute,23,gini,0,1,0,1,26,constant,8,log2,9,21,nnClassifier,6,7,adam,distance,0.46296296296296297
relu,brute,17,entropy,0,1,0,0,31,invscaling,28,auto,20,7,kneighborsClassifier,7,8,sgd,distance,0.6053240740740741
identity,kd_tree,15,gini,0,0,1,1,40,constant,92,auto,16,26,kneighborsClassifier,4,4,adam,distance,0.7094907407407407
tanh,ball_tree,20,entropy,1,1,1,1,10,adaptive,9,auto,13,6,nnClassifier,1,5,sgd,uniform,0.49537037037037035
identity,ball_tree,12,gini,0,0,0,0,35,invscaling,65,log2,7,4,randomForestClassifier,10,5,lbfgs,distance,0
logistic,auto,16,gini,0,0,0,0,13,constant,65,auto,8,34,nnClassifier,8,7,sgd,distance,0
logistic,brute,26,gini,0,1,0,0,11,invscaling,10,sqrt,2,34,randomForestClassifier,1,4,adam,distance,0.6180555555555556
identity,kd_tree,14,gini,1,0,0,1,28,constant,46,log2,19,19,nnClassifier,3,7,sgd,distance,0.4976851851851852
tanh,brute,15,entropy,1,1,1,1,16,adaptive,84,sqrt,19,28,randomForestClassifier,10,8,adam,distance,1.0
relu,kd_tree,17,gini,0,0,0,1,2,invscaling,45,sqrt,14,2,nnClassifier,8,3,lbfgs,uniform,0.46296296296296297
relu,brute,16,gini,0,1,0,1,36,adaptive,33,sqrt,2,19,randomForestClassifier,9,5,sgd,distance,0.6412037037037037
tanh,brute,9,entropy,0,0,0,1,11,invscaling,99,log2,4,11,nnClassifier,5,5,adam,uniform,0.46296296296296297
