activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,28,entropy,1,0,1,0,0,1,1,1,23,invscaling,45,log2,13,14,nnClassifier,9,2,lbfgs,distance,0.5054945054945055
identity,ball_tree,19,entropy,0,0,1,0,0,1,0,0,34,invscaling,94,sqrt,13,11,nnClassifier,9,2,adam,uniform,0.4945054945054945
relu,brute,22,entropy,1,0,0,0,1,0,0,1,32,invscaling,23,log2,3,25,nnClassifier,1,5,lbfgs,distance,0.5262515262515263
identity,ball_tree,30,gini,1,1,0,1,1,1,1,0,9,invscaling,4,sqrt,6,9,kneighborsClassifier,9,10,sgd,uniform,0.9242979242979243
identity,auto,18,gini,1,1,1,0,1,1,0,1,24,invscaling,32,auto,9,10,randomForestClassifier,4,3,lbfgs,uniform,0.9426129426129426
identity,auto,20,gini,1,1,1,0,1,1,1,0,2,adaptive,60,sqrt,3,31,kneighborsClassifier,6,6,lbfgs,distance,0.9328449328449329
tanh,ball_tree,12,entropy,0,1,0,1,0,0,1,0,8,invscaling,17,sqrt,17,21,kneighborsClassifier,8,10,sgd,distance,0.5604395604395604
tanh,ball_tree,12,entropy,1,1,0,1,0,0,0,0,8,invscaling,46,sqrt,4,21,nnClassifier,5,5,lbfgs,uniform,0.5726495726495726
identity,auto,12,entropy,0,1,0,0,0,1,1,0,32,adaptive,37,sqrt,4,8,randomForestClassifier,3,4,adam,uniform,0.7728937728937729
tanh,brute,14,entropy,0,0,0,1,0,1,1,1,38,constant,94,sqrt,2,14,nnClassifier,4,10,lbfgs,distance,0.4932844932844933
tanh,ball_tree,25,entropy,0,1,1,1,1,0,0,1,34,adaptive,18,sqrt,12,3,kneighborsClassifier,5,4,lbfgs,distance,0.7118437118437119
tanh,kd_tree,31,gini,0,1,1,1,0,1,0,0,2,constant,85,auto,7,24,nnClassifier,2,1,lbfgs,distance,0.5067155067155067
identity,auto,11,entropy,0,0,0,0,0,0,0,1,31,invscaling,3,log2,14,19,nnClassifier,2,4,lbfgs,distance,0.5811965811965812
logistic,auto,20,gini,0,1,1,1,1,0,1,1,18,adaptive,60,log2,11,39,randomForestClassifier,5,6,adam,uniform,0.7765567765567766
relu,auto,8,entropy,0,1,0,1,0,0,0,0,23,adaptive,25,auto,12,28,nnClassifier,6,10,adam,uniform,0.5811965811965812
identity,brute,25,entropy,0,1,1,1,0,1,0,1,15,invscaling,27,auto,9,34,kneighborsClassifier,1,7,adam,distance,0.7472527472527473
relu,brute,27,entropy,1,1,1,0,1,0,0,1,22,invscaling,5,sqrt,18,15,nnClassifier,3,2,lbfgs,uniform,0.5225885225885226
logistic,auto,11,gini,1,1,0,1,0,0,1,1,11,adaptive,16,auto,14,34,randomForestClassifier,8,3,adam,uniform,0.6141636141636142
tanh,kd_tree,32,entropy,0,1,1,0,0,1,1,0,25,constant,36,log2,19,36,kneighborsClassifier,2,1,lbfgs,uniform,0.7118437118437119
