,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
10,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,7.0,None,None,None,None,None,None,2.0,None,uniform,0.5054945054945055,ok,77.49452741700225
11,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,18.0,None,None,None,None,None,None,9.0,None,distance,0.5152625152625152,ok,77.5538485168945
12,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,88.0,log2,18.0,9.0,None,None,None,None,0.6715506715506715,ok,81.4306473240722
13,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,8.0,None,None,None,None,None,None,4.0,None,uniform,0.6007326007326007,ok,81.62014481890947
14,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,nnClassifier,tanh,None,26,None,None,invscaling,None,None,None,None,2,None,lbfgs,None,0.4700854700854701,ok,86.98615805990994
15,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,nnClassifier,relu,None,27,None,None,invscaling,None,None,None,None,2,None,sgd,None,0.44078144078144077,ok,88.3759082548786
16,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,94.0,auto,16.0,27.0,None,None,None,None,0.4652014652014652,ok,91.86971566802822
17,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,kneighborsClassifier,None,brute,None,None,37.0,None,None,None,None,None,None,2.0,None,distance,0.5885225885225885,ok,91.96091052796692
18,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,80.0,sqrt,18.0,19.0,None,None,None,None,0.8864468864468864,ok,95.72535510500893
19,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,22.0,None,None,None,None,None,None,3.0,None,uniform,0.568986568986569,ok,95.80263940687291
20,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,35.0,log2,2.0,35.0,None,None,None,None,0.8925518925518926,ok,98.6516322279349
21,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,30.0,log2,3.0,3.0,None,None,None,None,0.8888888888888888,ok,101.57081295805983
22,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,54.0,auto,9.0,32.0,None,None,None,None,0.8937728937728938,ok,104.24536287598312
23,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,2.0,auto,7.0,10.0,None,None,None,None,0.6703296703296703,ok,105.03402503603138
24,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,65.0,auto,7.0,39.0,None,None,None,None,0.894993894993895,ok,107.69753723195754
25,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,67.0,auto,5.0,4.0,None,None,None,None,0.8913308913308914,ok,110.5203562870156
26,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,72.0,auto,8.0,39.0,None,None,None,None,0.894993894993895,ok,113.14224940701388
27,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,78.0,auto,14.0,39.0,None,None,None,None,0.8913308913308914,ok,115.62866072799079
28,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,45.0,auto,4.0,14.0,None,None,None,None,0.8974358974358975,ok,118.55729162786156
29,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,nnClassifier,identity,None,10,None,None,constant,None,None,None,None,10,None,lbfgs,None,0.49206349206349204,ok,118.81091743893921
30,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,42.0,auto,4.0,13.0,None,None,None,None,0.8986568986568987,ok,121.75267017097212
31,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,19.0,auto,3.0,13.0,None,None,None,None,0.894993894993895,ok,124.72983459290117
32,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,41.0,auto,4.0,22.0,None,None,None,None,0.6666666666666666,ok,127.72691939398646
33,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,31,None,None,constant,None,None,None,None,10,None,sgd,None,0.4371184371184371,ok,136.3446525260806
