activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,26,auto,9,9,nnRegressor,2,3,adam,distance,0.8218191605790709,1551.9163609449752
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,80,auto,10,11,nnRegressor,2,4,adam,distance,0.8408606793035399,1551.916406715056
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,27,auto,10,8,nnRegressor,3,2,adam,distance,0.8268915450533711,1551.9164513139986
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,73,auto,8,11,nnRegressor,4,2,adam,distance,0.8271457908843397,1551.9164961241186
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,27,auto,7,8,nnRegressor,3,5,adam,distance,0.8256539844706173,1551.9165400930215
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,29,auto,10,9,nnRegressor,2,5,adam,distance,0.832759090717727,1551.9165842321236
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,36,auto,9,11,nnRegressor,3,4,adam,distance,0.8408606793035399,1551.9166278420016
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,25,auto,7,19,nnRegressor,3,5,adam,distance,0.8339199842250352,1551.9166716209147
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,14,auto,8,24,nnRegressor,1,3,adam,distance,0.8271457908843397,1551.9167153800372
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,54,auto,8,15,nnRegressor,2,5,adam,distance,0.8250720681644721,1551.9167593799066
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,19,auto,10,9,nnRegressor,3,4,adam,distance,0.83810777932722,1551.9168033089954
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,82,auto,10,7,nnRegressor,3,6,adam,distance,0.8263342044397183,1551.9168471489102
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,73,auto,9,14,nnRegressor,2,5,adam,distance,0.830102195590054,1551.9168914279435
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,78,auto,8,12,nnRegressor,5,7,adam,distance,0.8355854870716838,1551.9169354171026
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,73,auto,6,9,nnRegressor,3,5,adam,distance,0.8299673948519074,1551.9169795569032
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,76,auto,7,8,nnRegressor,3,5,adam,distance,0.8349983096501234,1551.9170333161019
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,72,auto,6,9,nnRegressor,3,5,adam,distance,0.833112769343149,1551.917078264989
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,30,auto,8,5,nnRegressor,3,2,adam,distance,0.8348415679029703,1551.917122605024
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,26,auto,6,13,nnRegressor,1,4,adam,distance,0.8313907251671809,1551.9171672340017
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,65,auto,8,13,nnRegressor,1,2,adam,distance,0.830760082247422,2115.950373684056
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,30,auto,6,11,nnRegressor,6,2,adam,distance,0.8226528007496994,2115.9504378230777
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,82,auto,10,7,nnRegressor,3,4,adam,distance,0.830102195590054,2115.9504834620748
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,31,auto,10,7,nnRegressor,2,3,adam,distance,0.8299673948519074,2115.9505274919793
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,76,auto,8,11,nnRegressor,4,5,adam,distance,0.8214872018503051,2115.9505716310814
relu,auto,17,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,31,auto,8,8,nnRegressor,4,3,adam,distance,0.8299673948519074,2115.9506156300195
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,33,auto,11,9,nnRegressor,2,2,adam,distance,0.8250720681644721,2115.950659330003
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,40,auto,6,9,nnRegressor,3,4,adam,distance,0.8299673948519074,2115.9507028691005
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,29,auto,7,15,nnRegressor,3,3,adam,distance,0.8392615595350325,2115.950746747898
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,18,auto,9,20,nnRegressor,4,3,adam,distance,0.8299259595987413,2115.9507907780353
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,58,auto,8,14,nnRegressor,4,3,adam,distance,0.8242585413568847,2115.9508345269132
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,23,auto,9,9,nnRegressor,3,6,adam,distance,0.8332720513361624,2115.950877807103
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,80,auto,8,10,nnRegressor,3,4,adam,distance,0.833112769343149,2115.9509212858975
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,77,auto,8,16,nnRegressor,2,1,adam,distance,0.8263362885068002,2115.9509648049716
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,82,auto,8,10,nnRegressor,4,6,adam,distance,0.8261280015287009,2115.951008294942
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,77,auto,6,7,nnRegressor,3,1,adam,distance,0.8339199842250352,2115.9510598541237
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,76,auto,9,11,nnRegressor,3,4,adam,distance,0.8299673948519074,2115.9511033829767
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,76,auto,7,8,nnRegressor,3,4,adam,distance,0.8408606793035399,2115.9511470429134
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,34,auto,8,7,nnRegressor,3,2,adam,distance,0.8349983096501234,2115.951190361986
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,30,auto,8,9,nnRegressor,3,4,adam,distance,0.8299259595987413,2115.95123374206
