activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,12,entropy,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,36,invscaling,94,sqrt,5,18,randomForestClassifier,2,8,lbfgs,uniform,0.9947201689545935
relu,ball_tree,30,gini,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,38,constant,39,log2,18,4,nnClassifier,10,3,lbfgs,uniform,1.0
relu,kd_tree,21,entropy,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,20,constant,78,auto,9,21,kneighborsClassifier,10,2,lbfgs,distance,0.9947201689545935
identity,brute,32,entropy,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,14,constant,57,auto,5,30,kneighborsClassifier,5,6,lbfgs,uniform,0.9947201689545935
tanh,kd_tree,20,gini,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,25,adaptive,49,auto,4,22,nnClassifier,10,6,sgd,distance,1.0
tanh,brute,27,entropy,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,31,constant,53,sqrt,16,40,randomForestClassifier,6,9,lbfgs,distance,0.9936642027455121
relu,auto,22,gini,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,13,constant,80,log2,12,39,kneighborsClassifier,5,6,lbfgs,distance,0.9947201689545935
identity,auto,25,gini,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,35,constant,37,log2,2,9,kneighborsClassifier,6,1,sgd,uniform,0.9936642027455121
relu,auto,15,entropy,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,8,invscaling,31,auto,4,16,randomForestClassifier,7,1,sgd,uniform,0.9947201689545935
tanh,kd_tree,26,entropy,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,13,constant,13,log2,20,6,kneighborsClassifier,2,8,sgd,uniform,0.9947201689545935
relu,ball_tree,18,gini,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,invscaling,68,auto,16,35,nnClassifier,3,7,lbfgs,uniform,1.0
tanh,auto,24,gini,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,35,constant,6,auto,19,7,kneighborsClassifier,10,6,lbfgs,distance,0.996832101372756
tanh,auto,10,gini,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,10,adaptive,72,sqrt,3,32,nnClassifier,7,9,sgd,distance,1.0
identity,brute,20,gini,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,26,constant,15,sqrt,18,14,randomForestClassifier,9,4,adam,distance,0.9936642027455121
tanh,kd_tree,27,gini,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,2,invscaling,38,auto,15,12,nnClassifier,10,2,adam,uniform,1.0
relu,auto,31,gini,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,13,constant,42,log2,17,10,kneighborsClassifier,5,7,adam,distance,0.996832101372756
relu,ball_tree,20,entropy,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,26,adaptive,93,auto,12,36,kneighborsClassifier,4,2,sgd,uniform,0.9936642027455121
relu,brute,22,entropy,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,15,invscaling,49,log2,12,17,kneighborsClassifier,9,2,adam,uniform,0.9936642027455121
identity,ball_tree,21,entropy,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,40,adaptive,25,sqrt,14,16,randomForestClassifier,10,7,adam,uniform,0.9936642027455121
identity,kd_tree,29,gini,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,13,adaptive,50,log2,5,7,randomForestClassifier,7,2,adam,uniform,0.9947201689545935
identity,brute,25,gini,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,33,adaptive,33,auto,19,35,randomForestClassifier,6,10,lbfgs,distance,0.9936642027455121
relu,auto,21,gini,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,19,adaptive,47,log2,5,14,randomForestClassifier,4,6,sgd,uniform,0.9947201689545935
