feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,40,sqrt,4,39,nan,nan,NA,NA,0.44376566560922603,335.36808609962463
1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,77,sqrt,16,19,nan,nan,NA,NA,0.4378887413680347,343.17173743247986
1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,9,auto,9,30,nan,nan,NA,NA,0.1047764736204776,599.5748956203461
1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,nnRegressor,tanh,NA,11,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,0.47358301078786913,608.8141152858734
1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,45,log2,9,36,nan,nan,NA,NA,0.4205614097340392,682.6128306388855
1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,kneighborsRegressor,NA,auto,nan,NA,15,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.334333597424213,687.1417200565338
1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,nnRegressor,relu,NA,20,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,0.522986501338331,695.2618172168732
0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,9,auto,12,4,nan,nan,NA,NA,0.5012951978233492,705.3164541721344
1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,nnRegressor,logistic,NA,17,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.5277766239828068,710.2931134700775
0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,nnRegressor,tanh,NA,25,NA,nan,constant,nan,NA,nan,nan,8,nan,sgd,NA,0.24077294083147427,717.5580434799194
1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,nnRegressor,relu,NA,18,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,0.4924247180566286,724.7399272918701
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,nnRegressor,logistic,NA,17,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,0.5282522338543372,730.2602207660675
1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,nnRegressor,tanh,NA,22,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.10566741262007018,740.1460976600647
0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,nnRegressor,identity,NA,8,NA,nan,constant,nan,NA,nan,nan,8,nan,lbfgs,NA,0.5261447963596222,744.5694606304169
1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,nnRegressor,tanh,NA,16,NA,nan,adaptive,nan,NA,nan,nan,5,nan,lbfgs,NA,0.31708354185555276,754.171582698822
1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,nnRegressor,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.5084503774187962,763.9224841594696
1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,nnRegressor,relu,NA,13,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.5425661712312466,771.4389448165894
1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,nnRegressor,tanh,NA,18,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.45921417638876294,780.0052092075348
1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,nnRegressor,tanh,NA,16,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,0.45380535680630885,789.5535824298859
0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,nnRegressor,relu,NA,13,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.5143629387956666,797.2788994312286
0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,nnRegressor,identity,NA,8,NA,nan,constant,nan,NA,nan,nan,1,nan,lbfgs,NA,0.5089676807289358,801.503734588623
1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,nnRegressor,relu,NA,24,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.2805310595038313,808.8622372150421
0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,nnRegressor,logistic,NA,13,NA,nan,invscaling,nan,NA,nan,nan,9,nan,sgd,NA,-0.02954387985939322,815.1464054584503
1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,nnRegressor,relu,NA,21,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,0.3597449128246699,828.0085499286652
1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,kneighborsRegressor,NA,auto,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.07696737861376612,832.1959347724915
