activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,20,gini,1,0,1,0,0,26,constant,16,auto,8,29,kneighborsClassifier,2,6,lbfgs,distance,0.8
logistic,kd_tree,28,entropy,0,1,0,0,0,16,invscaling,100,auto,18,30,kneighborsClassifier,10,1,lbfgs,uniform,0.6555555555555556
tanh,brute,19,gini,1,0,0,1,0,21,adaptive,69,sqrt,19,9,randomForestClassifier,2,4,lbfgs,uniform,0.812962962962963
logistic,ball_tree,18,gini,0,0,0,0,1,8,adaptive,62,log2,4,27,randomForestClassifier,2,1,adam,distance,0.7703703703703704
logistic,ball_tree,22,entropy,1,1,1,0,1,33,invscaling,45,sqrt,4,35,nnClassifier,1,8,sgd,uniform,0.7129629629629629
logistic,ball_tree,10,entropy,0,1,0,1,1,8,invscaling,70,auto,13,5,randomForestClassifier,6,6,sgd,distance,0.8314814814814815
relu,auto,22,gini,1,0,1,1,0,31,adaptive,52,log2,2,22,nnClassifier,2,5,adam,uniform,0.5462962962962963
tanh,ball_tree,14,entropy,1,0,0,1,0,33,adaptive,13,sqrt,10,8,nnClassifier,4,5,adam,uniform,0.5351851851851852
logistic,auto,23,entropy,1,1,0,1,0,26,adaptive,19,log2,10,34,nnClassifier,2,6,sgd,distance,0.5685185185185185
logistic,kd_tree,9,gini,0,1,1,1,1,23,invscaling,4,sqrt,19,10,nnClassifier,7,9,lbfgs,distance,0.6092592592592593
relu,auto,15,gini,0,1,1,0,1,37,adaptive,7,log2,15,15,kneighborsClassifier,1,10,lbfgs,distance,0.8685185185185185
relu,brute,26,entropy,0,1,1,1,0,19,constant,83,sqrt,19,31,kneighborsClassifier,5,10,sgd,distance,0.8407407407407408
identity,kd_tree,32,entropy,0,0,1,1,0,37,invscaling,48,auto,20,6,nnClassifier,3,7,sgd,uniform,0.6277777777777778
tanh,brute,9,gini,0,1,0,1,1,8,constant,42,sqrt,13,33,kneighborsClassifier,10,7,sgd,distance,0.8592592592592593
identity,kd_tree,9,entropy,0,1,0,1,0,34,constant,87,sqrt,8,8,randomForestClassifier,8,6,adam,uniform,0.7981481481481482
tanh,auto,16,entropy,1,1,0,1,1,9,adaptive,18,sqrt,14,39,randomForestClassifier,3,6,sgd,distance,0.85
identity,brute,13,gini,0,1,1,0,1,9,adaptive,91,log2,13,27,nnClassifier,6,1,sgd,uniform,0.6537037037037037
relu,ball_tree,27,gini,0,1,0,0,0,2,invscaling,79,log2,19,29,nnClassifier,5,7,lbfgs,uniform,0.6370370370370371
relu,auto,26,gini,0,1,1,1,1,31,adaptive,90,auto,4,33,nnClassifier,6,2,adam,uniform,0.587037037037037
