activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,11,gini,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,32,constant,55,auto,18,27,kneighborsClassifier,7,3,lbfgs,uniform,0.01171875
identity,brute,14,entropy,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,6,adaptive,97,sqrt,8,17,kneighborsClassifier,7,9,lbfgs,distance,0.02734375
relu,ball_tree,25,gini,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,33,constant,85,auto,14,21,randomForestClassifier,10,6,sgd,uniform,0.046875
logistic,kd_tree,22,gini,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,13,adaptive,99,auto,9,28,kneighborsClassifier,8,6,sgd,distance,0.005859375
identity,ball_tree,9,gini,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,34,invscaling,94,auto,12,35,kneighborsClassifier,1,1,lbfgs,uniform,0.01171875
relu,auto,26,entropy,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,26,adaptive,34,sqrt,17,10,kneighborsClassifier,9,7,sgd,distance,0.009765625
logistic,auto,15,entropy,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,17,adaptive,76,sqrt,15,16,nnClassifier,9,2,lbfgs,distance,0.98828125
identity,auto,15,entropy,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,38,adaptive,95,auto,16,20,kneighborsClassifier,5,3,sgd,uniform,0.00390625
logistic,auto,21,gini,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,25,adaptive,48,log2,11,17,randomForestClassifier,1,3,lbfgs,distance,0.63671875
tanh,kd_tree,19,gini,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,3,adaptive,68,auto,5,14,nnClassifier,8,3,lbfgs,uniform,0.990234375
identity,brute,21,gini,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,24,constant,45,sqrt,2,23,kneighborsClassifier,4,2,lbfgs,distance,0.01171875
logistic,brute,9,gini,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,15,invscaling,35,log2,20,36,randomForestClassifier,2,2,adam,distance,0.423828125
identity,ball_tree,26,entropy,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,39,invscaling,10,auto,10,33,randomForestClassifier,5,7,adam,distance,0.10546875
identity,brute,9,gini,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,constant,10,sqrt,18,6,randomForestClassifier,3,4,lbfgs,uniform,0.537109375
identity,ball_tree,20,gini,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,28,invscaling,2,sqrt,7,7,nnClassifier,8,1,lbfgs,distance,0.990234375
logistic,brute,31,gini,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,33,adaptive,52,sqrt,15,15,kneighborsClassifier,9,8,lbfgs,uniform,0.0078125
tanh,ball_tree,11,entropy,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,23,constant,70,auto,18,37,kneighborsClassifier,4,9,sgd,distance,0.009765625
relu,brute,22,entropy,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,5,invscaling,19,log2,14,35,nnClassifier,6,1,lbfgs,distance,0.98828125
identity,auto,27,gini,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,32,adaptive,10,sqrt,13,7,randomForestClassifier,3,8,sgd,uniform,0.03125
identity,brute,19,entropy,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,8,constant,97,sqrt,12,23,nnClassifier,10,1,sgd,distance,0.98828125
tanh,brute,21,gini,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,13,adaptive,94,sqrt,18,2,nnClassifier,9,2,lbfgs,distance,0.9921875
relu,kd_tree,12,entropy,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,16,adaptive,56,sqrt,8,30,kneighborsClassifier,2,8,adam,uniform,0.009765625
logistic,ball_tree,23,entropy,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,12,invscaling,94,sqrt,8,6,kneighborsClassifier,3,4,adam,distance,0.0234375
identity,brute,29,entropy,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,18,adaptive,100,auto,18,22,kneighborsClassifier,7,9,lbfgs,distance,0.0234375
identity,kd_tree,31,gini,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,17,adaptive,74,sqrt,9,33,kneighborsClassifier,6,9,adam,distance,0.015625
relu,kd_tree,11,entropy,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,7,invscaling,34,auto,5,13,kneighborsClassifier,10,1,lbfgs,distance,0.01953125
relu,kd_tree,32,entropy,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,6,constant,21,auto,19,8,randomForestClassifier,3,3,sgd,distance,0.02734375
logistic,kd_tree,25,gini,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,33,constant,10,log2,4,14,randomForestClassifier,4,5,lbfgs,distance,0.5859375
identity,kd_tree,30,gini,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,26,adaptive,77,sqrt,11,28,nnClassifier,6,10,lbfgs,uniform,0.986328125
identity,brute,27,gini,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,14,adaptive,15,log2,4,35,kneighborsClassifier,1,8,sgd,distance,0.013671875
tanh,kd_tree,25,entropy,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,13,invscaling,53,log2,16,32,kneighborsClassifier,7,9,lbfgs,distance,0.01953125
relu,kd_tree,10,gini,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,10,invscaling,69,auto,8,15,nnClassifier,6,10,lbfgs,distance,0.98828125
relu,brute,21,gini,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,27,invscaling,59,sqrt,4,23,randomForestClassifier,3,5,sgd,distance,0.609375
relu,kd_tree,8,gini,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,19,invscaling,93,auto,12,37,randomForestClassifier,5,10,adam,distance,0.619140625
relu,ball_tree,31,entropy,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,37,invscaling,51,sqrt,4,26,nnClassifier,8,7,adam,uniform,0.9921875
tanh,ball_tree,23,gini,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,5,constant,65,sqrt,20,38,randomForestClassifier,3,7,adam,distance,0.451171875
tanh,brute,16,entropy,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,21,constant,83,sqrt,7,22,kneighborsClassifier,9,4,adam,uniform,0.01171875
tanh,kd_tree,18,gini,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,18,constant,22,auto,4,21,randomForestClassifier,8,6,adam,uniform,0.037109375
tanh,brute,22,gini,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,29,invscaling,88,sqrt,19,6,kneighborsClassifier,5,6,sgd,distance,0.01171875
tanh,auto,22,gini,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,40,constant,42,sqrt,11,27,kneighborsClassifier,8,1,sgd,uniform,0.0390625
relu,kd_tree,11,entropy,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,29,constant,71,log2,13,26,nnClassifier,4,9,adam,distance,0.990234375
tanh,auto,18,gini,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,19,adaptive,77,log2,13,25,kneighborsClassifier,4,9,sgd,uniform,0.00390625
logistic,ball_tree,8,entropy,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,7,invscaling,13,log2,3,37,nnClassifier,7,1,lbfgs,uniform,0.990234375
relu,brute,19,gini,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,14,adaptive,41,auto,16,23,nnClassifier,8,10,sgd,distance,0.98828125
relu,ball_tree,23,entropy,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,26,adaptive,71,sqrt,10,38,kneighborsClassifier,2,9,lbfgs,uniform,0.015625
relu,kd_tree,20,entropy,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,3,constant,88,auto,6,16,randomForestClassifier,10,5,sgd,distance,0.171875
tanh,auto,18,gini,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,3,adaptive,38,log2,4,3,randomForestClassifier,8,1,lbfgs,uniform,0.111328125
