activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,27,entropy,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,13,constant,54,auto,12,21,nnClassifier,5,3,sgd,distance,0.1781045751633987
logistic,ball_tree,30,gini,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,13,constant,92,log2,11,8,randomForestClassifier,8,8,adam,uniform,0.5637254901960784
tanh,kd_tree,30,entropy,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,40,adaptive,40,sqrt,6,2,kneighborsClassifier,9,8,sgd,distance,0.5686274509803921
tanh,brute,9,gini,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,6,constant,67,auto,3,28,kneighborsClassifier,8,2,adam,uniform,0.5310457516339869
identity,kd_tree,12,entropy,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,14,invscaling,58,sqrt,13,38,kneighborsClassifier,1,7,adam,distance,0.5686274509803921
identity,ball_tree,12,entropy,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,40,constant,86,log2,8,32,nnClassifier,5,2,lbfgs,distance,0.12091503267973856
logistic,kd_tree,14,entropy,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,25,adaptive,79,auto,19,2,nnClassifier,4,6,adam,distance,0.16013071895424835
identity,ball_tree,18,gini,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,36,adaptive,67,auto,11,31,kneighborsClassifier,10,4,lbfgs,distance,0.5866013071895425
tanh,ball_tree,21,gini,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,26,adaptive,45,sqrt,18,28,kneighborsClassifier,3,8,sgd,distance,0.576797385620915
relu,kd_tree,16,entropy,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,29,constant,7,log2,15,2,kneighborsClassifier,4,7,lbfgs,distance,0.5784313725490197
logistic,brute,28,gini,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,22,adaptive,73,auto,17,29,nnClassifier,7,4,lbfgs,distance,0.19444444444444445
identity,kd_tree,16,entropy,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,12,adaptive,75,log2,15,35,nnClassifier,3,7,adam,distance,0.13725490196078433
relu,brute,31,gini,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,18,invscaling,54,log2,12,34,randomForestClassifier,7,5,adam,distance,0.5571895424836601
logistic,auto,12,gini,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,39,constant,51,auto,3,27,nnClassifier,9,8,adam,uniform,0.17973856209150327
tanh,auto,15,entropy,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,21,adaptive,90,sqrt,8,19,randomForestClassifier,8,1,lbfgs,uniform,0.5882352941176471
relu,brute,20,gini,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,39,constant,81,sqrt,6,14,nnClassifier,10,10,sgd,uniform,0.20098039215686275
logistic,brute,26,gini,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,33,adaptive,5,log2,4,4,kneighborsClassifier,6,9,lbfgs,uniform,0.565359477124183
relu,auto,8,gini,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,20,adaptive,89,log2,16,21,randomForestClassifier,7,5,sgd,uniform,0.5490196078431373
tanh,ball_tree,29,entropy,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,12,constant,89,log2,18,34,randomForestClassifier,9,1,lbfgs,distance,0.5473856209150327
tanh,brute,27,entropy,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,24,invscaling,30,log2,4,24,randomForestClassifier,4,2,sgd,distance,0.5637254901960784
identity,auto,19,gini,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,25,invscaling,77,log2,19,2,randomForestClassifier,10,2,adam,distance,0.5359477124183006
logistic,ball_tree,20,gini,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,36,constant,50,log2,17,28,kneighborsClassifier,8,5,sgd,distance,0.5849673202614379
tanh,auto,16,gini,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,32,constant,35,auto,19,37,kneighborsClassifier,6,3,adam,distance,0.5620915032679739
identity,auto,19,gini,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,7,adaptive,83,log2,20,26,randomForestClassifier,9,3,adam,uniform,0.5424836601307189
identity,ball_tree,12,gini,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,16,constant,76,auto,7,38,kneighborsClassifier,7,9,lbfgs,uniform,0.565359477124183
logistic,brute,31,gini,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,5,adaptive,60,sqrt,9,30,kneighborsClassifier,7,6,adam,uniform,0.5441176470588235
relu,brute,10,entropy,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,13,adaptive,46,sqrt,20,33,randomForestClassifier,3,2,sgd,distance,0.5310457516339869
identity,auto,9,entropy,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,16,constant,71,log2,10,31,randomForestClassifier,4,8,sgd,uniform,0.565359477124183
relu,ball_tree,25,entropy,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,26,invscaling,88,sqrt,20,12,kneighborsClassifier,10,6,lbfgs,uniform,0.5571895424836601
identity,auto,12,gini,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,25,invscaling,2,log2,12,10,randomForestClassifier,8,4,sgd,distance,0.42320261437908496
tanh,brute,16,gini,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,34,adaptive,92,auto,8,11,kneighborsClassifier,1,2,sgd,distance,0.5686274509803921
relu,auto,14,gini,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,14,adaptive,98,sqrt,12,14,kneighborsClassifier,3,2,adam,distance,0.5669934640522876
identity,kd_tree,25,entropy,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,29,constant,79,sqrt,9,39,randomForestClassifier,10,3,sgd,distance,0.5571895424836601
tanh,ball_tree,26,gini,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,2,adaptive,75,auto,17,24,randomForestClassifier,10,7,sgd,distance,0.5588235294117647
relu,brute,23,entropy,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,15,adaptive,6,log2,12,30,kneighborsClassifier,8,7,lbfgs,distance,0.5898692810457516
tanh,ball_tree,11,gini,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,3,constant,19,sqrt,2,39,randomForestClassifier,3,7,adam,uniform,0.5669934640522876
logistic,auto,19,entropy,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,11,constant,32,log2,18,12,randomForestClassifier,3,1,sgd,distance,0.5408496732026143
logistic,brute,8,entropy,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,7,adaptive,41,sqrt,15,31,kneighborsClassifier,5,9,adam,distance,0.5702614379084967
identity,auto,14,entropy,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,12,constant,23,sqrt,9,30,randomForestClassifier,9,3,adam,uniform,0.5604575163398693
relu,ball_tree,8,entropy,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,31,adaptive,50,auto,18,32,randomForestClassifier,1,9,sgd,uniform,0.5424836601307189
logistic,auto,30,entropy,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,10,adaptive,65,auto,14,3,nnClassifier,5,2,lbfgs,distance,0.15522875816993464
identity,brute,18,gini,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,30,adaptive,47,sqrt,16,30,nnClassifier,4,4,lbfgs,distance,0.09803921568627451
relu,ball_tree,17,gini,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,34,constant,12,log2,13,38,randomForestClassifier,3,8,lbfgs,distance,0.5555555555555556
logistic,brute,8,entropy,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,23,invscaling,97,auto,14,35,kneighborsClassifier,8,3,sgd,uniform,0.5441176470588235
identity,brute,18,entropy,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,23,adaptive,6,auto,16,10,nnClassifier,4,4,adam,uniform,0.119281045751634
logistic,ball_tree,26,gini,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,24,constant,26,log2,8,27,nnClassifier,9,1,sgd,uniform,0.1323529411764706
logistic,ball_tree,22,entropy,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,29,invscaling,70,log2,4,22,randomForestClassifier,7,5,adam,distance,0.5702614379084967
identity,brute,22,entropy,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,3,constant,84,sqrt,12,40,nnClassifier,3,4,lbfgs,uniform,0.12254901960784313
relu,brute,25,gini,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,34,constant,14,log2,3,9,randomForestClassifier,10,4,lbfgs,distance,0.5996732026143791
identity,brute,11,gini,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,3,constant,95,auto,9,33,randomForestClassifier,6,8,adam,uniform,0.5588235294117647
logistic,auto,20,gini,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,29,invscaling,58,sqrt,11,31,nnClassifier,8,10,adam,uniform,0.1715686274509804
logistic,ball_tree,27,gini,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,3,constant,23,auto,4,22,kneighborsClassifier,1,8,adam,uniform,0.5408496732026143
tanh,ball_tree,23,entropy,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,20,constant,86,auto,4,7,kneighborsClassifier,3,9,adam,uniform,0.5408496732026143
tanh,ball_tree,14,entropy,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,9,invscaling,33,log2,5,22,nnClassifier,4,4,adam,distance,0.2042483660130719
