activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,16,gini,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,21,adaptive,60,log2,20,32,randomForestClassifier,7,8,lbfgs,uniform,0.5506535947712419
relu,auto,29,entropy,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,33,invscaling,4,log2,16,32,nnClassifier,8,8,lbfgs,distance,0.18137254901960784
relu,kd_tree,31,gini,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,23,invscaling,20,log2,16,13,kneighborsClassifier,9,1,sgd,distance,0.545751633986928
logistic,brute,10,gini,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,30,invscaling,25,log2,16,24,nnClassifier,5,8,lbfgs,distance,0.12745098039215685
logistic,kd_tree,31,gini,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,36,constant,14,auto,20,30,nnClassifier,6,3,lbfgs,distance,0.17647058823529413
relu,kd_tree,19,gini,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,6,adaptive,12,sqrt,2,4,randomForestClassifier,1,10,sgd,uniform,0.5980392156862745
relu,ball_tree,26,gini,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,7,constant,8,log2,13,25,randomForestClassifier,6,7,adam,uniform,0.5408496732026143
logistic,kd_tree,31,gini,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,23,invscaling,43,auto,4,3,randomForestClassifier,7,10,lbfgs,distance,0.6013071895424836
logistic,ball_tree,15,gini,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,27,constant,90,log2,4,20,randomForestClassifier,3,7,adam,distance,0.5882352941176471
logistic,ball_tree,20,entropy,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,39,invscaling,52,log2,13,3,randomForestClassifier,5,1,lbfgs,uniform,0.5702614379084967
