,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
55,1,0,0,1,0,1,0,0,0,0,1,1,nnRegressor,identity,None,21.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.0421290086128836,ok,1239.4189859100152
56,1,0,1,1,0,1,1,1,0,1,1,1,nnRegressor,identity,None,24.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.9999999587567786,ok,1250.7918529158924
57,1,0,1,1,0,1,1,1,0,1,1,1,kneighborsRegressor,None,kd_tree,None,None,16.0,None,None,None,None,None,None,5.0,None,uniform,0.6381950879912426,ok,1250.8797024840023
58,1,1,1,1,0,1,1,1,0,0,1,1,nnRegressor,tanh,None,28.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9958280391253127,ok,1265.4142732999753
59,1,0,0,1,0,1,0,0,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,78,log2,19,33,None,None,None,None,0.7170628743409123,ok,1266.9749634349719
60,1,1,1,1,0,1,1,1,0,1,1,1,nnRegressor,relu,None,25.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,0.9994652945390512,ok,1270.1637162209954
61,1,0,1,1,0,1,1,1,0,1,1,1,nnRegressor,identity,None,20.0,None,None,adaptive,None,None,None,None,6.0,None,sgd,None,0.9999999984466872,ok,1283.4425468828995
62,1,0,1,1,0,1,1,1,0,0,1,1,nnRegressor,tanh,None,30.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,0.999195193701914,ok,1287.1176061618607
63,1,1,0,1,0,1,0,1,0,1,1,1,kneighborsRegressor,None,auto,None,None,26.0,None,None,None,None,None,None,10.0,None,distance,0.5624313201691681,ok,1287.18741798494
64,1,0,1,1,0,1,1,0,0,1,1,1,nnRegressor,identity,None,27.0,None,None,adaptive,None,None,None,None,8.0,None,sgd,None,0.9999999456894897,ok,1297.2620842459146
65,1,0,1,0,0,1,1,1,0,1,1,0,nnRegressor,identity,None,25.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9999999999898921,ok,1308.1397549668327
66,1,0,1,0,0,1,1,1,0,1,1,0,nnRegressor,identity,None,23.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9999999999877428,ok,1320.1062417428475
67,1,0,1,0,0,1,1,1,0,1,1,0,nnRegressor,identity,None,26.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.9999999999768594,ok,1330.6548614290077
68,1,0,1,0,0,1,1,1,0,1,1,0,nnRegressor,identity,None,29.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9999999999924267,ok,1340.2661099408288
69,1,0,1,0,0,1,1,1,0,1,1,0,nnRegressor,identity,None,29.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9999999999924267,ok,1349.884396839887
70,1,0,1,0,0,1,1,1,0,1,1,1,nnRegressor,identity,None,31.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.9999999999869541,ok,1358.9961877418682
71,1,0,1,0,0,1,1,1,0,1,1,0,nnRegressor,identity,None,28.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9999999999922032,ok,1368.8059208048508
72,1,0,1,1,0,1,1,1,0,1,1,0,nnRegressor,relu,None,31.0,None,None,adaptive,None,None,None,None,8.0,None,sgd,None,0.9965712761887275,ok,1381.2355033149943
73,1,0,1,0,0,1,1,1,0,1,1,1,nnRegressor,identity,None,29.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,0.9999999999947928,ok,1383.0757146098185
74,1,0,1,0,0,1,1,1,0,1,1,1,nnRegressor,identity,None,27.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,0.999999319467774,ok,1383.4934465389233
75,1,0,1,0,0,1,1,1,0,1,1,1,randomForestRegressor,None,None,None,mae,None,None,35,auto,11,10,None,None,None,None,0.9999531638167303,ok,1651.8986870788503
76,0,1,1,1,1,1,1,1,0,1,1,1,nnRegressor,tanh,None,19.0,None,None,constant,None,None,None,None,5.0,None,sgd,None,0.9955528296635694,ok,1657.6624066939112
77,1,0,1,0,0,1,1,1,1,1,1,1,nnRegressor,identity,None,23.0,None,None,constant,None,None,None,None,6.0,None,sgd,None,0.9999999999855346,ok,1659.9648499938194
78,0,0,1,0,1,1,1,1,0,1,1,1,nnRegressor,logistic,None,30.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,0.9963534227104728,ok,1665.1821409538388
79,1,0,1,1,0,0,1,1,1,0,1,1,kneighborsRegressor,None,ball_tree,None,None,2.0,None,None,None,None,None,None,8.0,None,uniform,0.5317026056836582,ok,1665.26363995485
80,0,1,1,0,1,1,1,1,0,1,1,1,randomForestRegressor,None,None,None,mae,None,None,56,auto,15,23,None,None,None,None,0.9999227349765607,ok,1978.86864095903
81,1,0,0,0,0,1,0,0,1,1,1,1,nnRegressor,tanh,None,26.0,None,None,constant,None,None,None,None,5.0,None,lbfgs,None,0.5347910616931982,ok,1989.4918358768336
82,0,0,1,1,1,1,1,1,1,1,1,1,nnRegressor,identity,None,22.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.999999999947953,ok,1991.862175332848
83,1,0,1,0,0,0,1,1,0,1,0,1,nnRegressor,relu,None,32.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,0.9966043238548099,ok,1994.962621935876
84,0,0,1,0,1,1,1,1,1,0,1,1,nnRegressor,logistic,None,28.0,None,None,constant,None,None,None,None,9.0,None,sgd,None,0.9977885967400055,ok,2000.1893464038149
85,1,1,0,1,0,1,0,0,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,69,log2,5,39,None,None,None,None,0.7432177654078271,ok,2001.7727671558969
86,0,0,1,0,1,1,1,1,1,1,1,1,kneighborsRegressor,None,ball_tree,None,None,31.0,None,None,None,None,None,None,2.0,None,uniform,0.6125047902630654,ok,2001.8876189419534
87,1,0,1,1,0,0,1,1,0,1,0,1,nnRegressor,identity,None,24.0,None,None,invscaling,None,None,None,None,4.0,None,lbfgs,None,0.9999999555366533,ok,2002.2844073078595
88,0,0,1,0,1,1,1,1,1,0,1,1,nnRegressor,identity,None,17.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.9999968759376712,ok,2005.234721096931
89,1,0,0,0,0,1,1,1,0,1,1,1,nnRegressor,identity,None,15.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,0.057987020123000055,ok,2015.7602885549422
90,0,1,1,1,1,1,0,0,0,1,1,1,kneighborsRegressor,None,brute,None,None,22.0,None,None,None,None,None,None,5.0,None,distance,0.5634968644682554,ok,2016.2302480170038
91,1,0,1,0,0,0,1,1,1,1,0,1,nnRegressor,logistic,None,31.0,None,None,constant,None,None,None,None,9.0,None,sgd,None,0.9977601808916424,ok,2021.4704038978089
92,0,0,1,1,1,1,1,1,0,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,89,sqrt,13,17,None,None,None,None,0.899891364230784,ok,2039.573040799005
93,1,0,1,0,0,1,1,1,1,0,1,1,nnRegressor,identity,None,19.0,None,None,adaptive,None,None,None,None,7.0,None,sgd,None,0.9999998030555476,ok,2053.7099629649892
94,0,0,0,1,0,1,0,0,0,1,1,0,nnRegressor,tanh,None,29.0,None,None,adaptive,None,None,None,None,3.0,None,adam,None,0.3891554979335021,ok,2065.175155660836
95,1,1,1,0,1,1,1,1,1,1,0,1,kneighborsRegressor,None,auto,None,None,14.0,None,None,None,None,None,None,3.0,None,distance,0.5924472044229476,ok,2065.253818398807
96,1,0,1,0,0,0,1,1,0,1,1,0,nnRegressor,relu,None,21.0,None,None,invscaling,None,None,None,None,9.0,None,sgd,None,0.9823451668073819,ok,2068.22446618299
97,0,0,1,1,1,1,1,1,0,0,1,1,randomForestRegressor,None,None,None,poisson,None,None,10,log2,17,8,None,None,None,None,0.287599041082945,ok,2071.9207671449985
98,1,0,0,0,0,1,1,1,1,1,1,0,nnRegressor,identity,None,24.0,None,None,adaptive,None,None,None,None,7.0,None,lbfgs,None,0.058443079690214894,ok,2072.2889799319673
99,0,0,1,1,0,1,0,0,0,1,1,1,nnRegressor,identity,None,27.0,None,None,constant,None,None,None,None,6.0,None,sgd,None,0.9999999963423201,ok,2074.2203691019677
