,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
30,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,8.0,None,None,None,None,None,None,2.0,None,distance,0.9781818181818182,ok,93.31445274199359
31,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,kneighborsClassifier,None,auto,None,None,15.0,None,None,None,None,None,None,4.0,None,uniform,0.9690909090909091,ok,93.43655662192032
32,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,24.0,None,None,None,None,None,None,3.0,None,uniform,0.9745454545454545,ok,93.61220949003473
33,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,6,auto,20,3,None,None,None,None,0.9127272727272727,ok,95.26520911208354
34,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,30.0,None,None,None,None,None,None,1.0,None,uniform,0.9745454545454545,ok,95.36277801496908
35,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,15,auto,2,40,None,None,None,None,0.9509090909090909,ok,97.43915672996081
36,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,17.0,None,None,None,None,None,None,2.0,None,uniform,0.9727272727272728,ok,97.54202399705537
37,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,10.0,None,None,None,None,None,None,4.0,None,distance,0.98,ok,97.62855316605419
38,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,23,auto,20,31,None,None,None,None,0.9145454545454546,ok,99.56269695493393
39,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,kneighborsClassifier,None,brute,None,None,40.0,None,None,None,None,None,None,9.0,None,uniform,0.9709090909090909,ok,99.6890927979257
40,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,kneighborsClassifier,None,auto,None,None,22.0,None,None,None,None,None,None,5.0,None,uniform,0.9727272727272728,ok,99.82033884897828
41,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,nnClassifier,relu,None,8.0,None,None,invscaling,None,None,None,None,10.0,None,lbfgs,None,0.10363636363636364,ok,102.41736190603115
42,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,33,log2,14,3,None,None,None,None,0.9145454545454546,ok,103.57990063005127
43,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,34.0,None,None,None,None,None,None,3.0,None,distance,0.9781818181818182,ok,103.6752016430255
