activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,28,mae,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,6,invscaling,90,sqrt,14,11,randomForestRegressor,7,3,sgd,distance,0.45086451101764957
tanh,brute,14,mse,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,26,invscaling,83,sqrt,3,39,kneighborsRegressor,10,10,lbfgs,distance,0.18570456026128612
identity,ball_tree,31,mae,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,33,invscaling,66,log2,12,26,kneighborsRegressor,9,6,sgd,distance,0.24527104281470435
logistic,ball_tree,32,mse,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,27,constant,28,sqrt,2,35,randomForestRegressor,5,2,sgd,uniform,0.2328187065363453
logistic,kd_tree,15,poisson,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,33,constant,25,sqrt,10,29,nnRegressor,1,6,lbfgs,distance,0.3276862599914665
tanh,auto,23,poisson,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,2,adaptive,87,log2,5,2,nnRegressor,1,4,lbfgs,uniform,-0.18138335369849323
tanh,brute,31,mse,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,28,constant,26,sqrt,12,19,kneighborsRegressor,6,2,lbfgs,uniform,-0.46985658779004136
relu,ball_tree,17,mse,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,12,adaptive,51,auto,16,17,randomForestRegressor,4,3,adam,distance,0.0806831943881624
tanh,auto,32,mae,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,35,constant,97,sqrt,14,23,randomForestRegressor,6,6,sgd,distance,0.36291356169724376
tanh,brute,18,poisson,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,16,adaptive,77,log2,16,6,randomForestRegressor,2,9,adam,uniform,0.03687044210445278
identity,ball_tree,9,mae,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,17,invscaling,54,auto,8,37,randomForestRegressor,3,8,sgd,uniform,0.1941336630800612
relu,brute,9,mae,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,8,invscaling,2,sqrt,19,21,nnRegressor,3,9,sgd,uniform,-0.003554864177321093
logistic,ball_tree,13,poisson,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,4,invscaling,23,log2,4,17,randomForestRegressor,7,5,sgd,uniform,0.010384181923015823
tanh,brute,32,mae,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,18,constant,40,sqrt,2,33,randomForestRegressor,4,6,sgd,uniform,0.34882747162899785
tanh,auto,28,poisson,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,2,constant,94,sqrt,17,4,randomForestRegressor,9,9,lbfgs,uniform,-0.012139706489121105
logistic,brute,31,mae,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,5,invscaling,67,auto,2,12,nnRegressor,5,6,adam,uniform,0.10429032469425115
tanh,ball_tree,20,mse,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,32,adaptive,70,log2,18,33,kneighborsRegressor,4,3,adam,distance,0.24456927803424677
identity,ball_tree,19,poisson,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,19,constant,64,log2,17,40,nnRegressor,6,8,adam,distance,0.5265880305640743
logistic,auto,13,mse,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,3,constant,78,log2,10,31,kneighborsRegressor,2,9,sgd,uniform,0.3857572757626415
tanh,ball_tree,23,poisson,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,22,adaptive,12,log2,4,26,nnRegressor,8,4,adam,distance,0.06824760742848845
relu,brute,10,mse,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,38,constant,80,log2,6,26,randomForestRegressor,7,2,adam,distance,0.30939123576319094
identity,kd_tree,23,mae,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,17,invscaling,91,auto,7,33,kneighborsRegressor,7,6,adam,uniform,0.3988884250027068
tanh,auto,22,mae,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,35,constant,76,sqrt,14,11,nnRegressor,9,2,sgd,distance,0.19217094018966008
identity,brute,26,mae,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,12,constant,30,auto,12,32,randomForestRegressor,3,9,sgd,uniform,0.254735786101561
identity,ball_tree,12,mae,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,19,constant,58,sqrt,16,16,randomForestRegressor,8,6,sgd,distance,0.36567030809889967
logistic,brute,22,mse,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,16,constant,67,auto,8,5,nnRegressor,1,5,lbfgs,distance,0.1413318085859474
tanh,kd_tree,12,poisson,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,3,constant,47,sqrt,4,14,randomForestRegressor,5,4,lbfgs,uniform,0.0557570358561571
logistic,auto,21,mae,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,25,constant,65,auto,14,32,randomForestRegressor,5,10,lbfgs,distance,0.359418576587788
tanh,brute,19,mse,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,7,invscaling,73,log2,5,23,randomForestRegressor,6,8,adam,distance,0.3989037674077778
relu,kd_tree,22,mae,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,15,adaptive,58,log2,16,33,nnRegressor,7,10,lbfgs,uniform,-0.21406093640645785
relu,kd_tree,8,poisson,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,23,invscaling,52,sqrt,12,12,kneighborsRegressor,3,5,sgd,distance,0.16718291549403108
tanh,auto,27,mse,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,15,adaptive,92,auto,2,23,kneighborsRegressor,7,1,lbfgs,uniform,-1.0715649749445184
logistic,brute,18,mae,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,32,adaptive,78,sqrt,2,13,nnRegressor,8,8,sgd,uniform,0.1039726339843785
relu,brute,11,mse,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,2,constant,69,auto,5,40,kneighborsRegressor,5,10,sgd,uniform,0.035109254448707716
logistic,brute,30,mae,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,12,constant,87,log2,5,29,nnRegressor,9,3,adam,uniform,0.08851130771682669
tanh,auto,16,poisson,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,9,invscaling,38,log2,13,7,kneighborsRegressor,4,10,lbfgs,distance,0.03151113634664504
identity,ball_tree,14,mse,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,10,invscaling,96,log2,10,7,kneighborsRegressor,7,6,sgd,distance,0.2067761020186003
