activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,13,gini,1,0,0,1,0,0,0,0,1,0,1,1,1,1,13,invscaling,97,log2,20,3,randomForestClassifier,8,4,sgd,uniform,0.9387550200803213
relu,brute,26,entropy,1,1,1,1,1,0,1,0,0,1,1,0,1,1,33,adaptive,27,auto,15,3,randomForestClassifier,2,7,sgd,distance,0.9799196787148594
logistic,ball_tree,18,entropy,1,1,0,0,1,1,0,1,0,1,1,1,1,1,13,adaptive,33,sqrt,3,17,randomForestClassifier,7,6,adam,distance,0.9819277108433735
tanh,brute,9,gini,1,0,0,0,0,1,1,1,0,0,1,0,1,1,18,constant,100,auto,13,22,randomForestClassifier,4,7,lbfgs,distance,0.9538152610441767
tanh,ball_tree,27,entropy,1,1,0,1,1,0,0,1,1,0,1,1,1,1,3,invscaling,97,log2,20,3,randomForestClassifier,8,4,lbfgs,uniform,0.9708835341365462
logistic,ball_tree,18,entropy,1,1,0,0,1,1,0,1,0,0,1,0,1,1,36,constant,100,auto,13,22,randomForestClassifier,4,7,sgd,distance,0.9708835341365462
tanh,brute,26,gini,1,1,1,1,1,0,0,1,0,1,0,1,1,0,8,constant,90,auto,15,27,nnClassifier,1,2,adam,uniform,0.7238955823293173
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9889558232931727
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9889558232931727
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9889558232931727
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,0,1,1,8,constant,77,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9879518072289156
identity,brute,27,gini,1,0,1,0,1,0,1,1,1,1,0,1,1,1,8,constant,90,auto,20,27,kneighborsClassifier,1,2,adam,uniform,0.9879518072289156
identity,brute,27,gini,1,0,1,0,1,0,1,1,1,1,0,0,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9869477911646586
logistic,ball_tree,18,entropy,1,1,0,0,1,1,0,1,0,1,1,1,1,1,13,adaptive,33,sqrt,3,17,randomForestClassifier,7,6,adam,distance,0.9819277108433735
relu,kd_tree,13,gini,1,0,0,1,0,0,0,0,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9799196787148594
relu,brute,26,entropy,1,1,1,1,1,0,1,1,0,0,1,1,1,1,13,invscaling,97,log2,20,3,randomForestClassifier,8,4,sgd,uniform,0.9799196787148594
relu,brute,26,entropy,1,1,1,1,1,0,1,0,0,1,1,0,1,1,33,adaptive,27,auto,15,3,randomForestClassifier,2,7,sgd,distance,0.9799196787148594
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,1,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9889558232931727
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,1,0,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9849397590361446
tanh,ball_tree,27,entropy,1,0,0,1,1,0,0,1,1,1,0,0,1,1,8,constant,77,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9879518072289156
tanh,ball_tree,19,entropy,1,0,0,1,1,0,0,1,1,1,0,1,1,1,8,constant,90,auto,20,27,kneighborsClassifier,1,2,adam,uniform,0.9889558232931727
identity,brute,27,gini,1,0,1,0,1,0,1,1,1,1,0,0,1,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.9869477911646586
identity,brute,27,gini,1,0,1,0,1,0,1,1,1,1,1,1,1,1,13,adaptive,33,sqrt,8,17,randomForestClassifier,7,6,adam,distance,0.9789156626506024
logistic,ball_tree,18,entropy,1,1,0,0,1,1,0,1,0,1,0,1,1,1,8,constant,51,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.8945783132530121
relu,kd_tree,13,gini,1,0,0,1,0,0,0,0,1,0,1,1,1,1,13,invscaling,97,log2,20,3,randomForestClassifier,8,4,sgd,uniform,0.9387550200803213
relu,brute,26,entropy,1,1,1,1,1,0,1,1,0,1,1,0,1,1,33,adaptive,27,auto,15,3,randomForestClassifier,2,7,sgd,distance,0.9779116465863453
relu,brute,26,entropy,1,1,1,1,1,0,1,0,0,1,0,1,0,1,8,constant,90,auto,15,27,kneighborsClassifier,1,2,adam,uniform,0.893574297188755
