activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,1,1,1,1,3,constant,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.730456503796383
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,1,1,1,1,3,adaptive,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.730456503796383
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,0,0,1,1,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,4,adam,uniform,0.7285345741985433
identity,brute,29,poisson,1,0,0,0,0,0,1,0,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.726462722294879
relu,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,0,1,0,1,1,3,adaptive,92,sqrt,15,15,randomForestRegressor,6,1,sgd,distance,0.7178636612542805
relu,kd_tree,25,mae,0,1,1,1,0,0,1,1,1,1,1,1,1,1,10,adaptive,44,log2,2,38,nnRegressor,6,2,adam,uniform,0.7343203346468052
relu,ball_tree,27,mae,1,0,0,0,1,0,1,1,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7490762083294847
logistic,brute,11,poisson,1,0,0,0,1,0,0,1,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7391389083990658
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7322503719585793
logistic,brute,13,poisson,0,0,1,0,1,0,0,0,0,0,1,1,1,1,3,constant,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.6831892510908699
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,0,1,1,1,3,adaptive,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.7295217758347932
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,0,1,1,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,4,adam,uniform,0.7073906480734086
tanh,kd_tree,25,mae,1,1,1,1,0,0,1,1,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,4,2,adam,uniform,0.7584913080298057
identity,brute,30,poisson,1,0,0,1,0,0,1,0,1,0,1,0,1,1,3,adaptive,92,sqrt,15,15,randomForestRegressor,6,1,sgd,distance,0.6397102545876971
relu,kd_tree,21,poisson,1,1,1,1,0,0,1,1,1,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7656551858284579
