activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,19,mse,1,1,1,1,1,1,1,1,25,constant,57,auto,17,28,nnRegressor,3,6,adam,distance,0.8888271244601043,1143.1115950180683
relu,auto,20,mse,1,1,1,1,1,1,1,1,18,constant,40,auto,17,22,nnRegressor,2,3,adam,distance,0.9142399863696167,1143.1116315370891
relu,auto,19,mse,1,1,1,1,1,1,1,1,26,constant,10,auto,15,30,nnRegressor,1,3,adam,distance,0.9052010429634918,1143.11166791711
relu,auto,23,mse,1,1,1,1,1,1,1,1,19,constant,59,auto,17,13,nnRegressor,5,3,adam,distance,0.9130280196031432,1311.1913701221347
relu,auto,23,mse,1,1,1,1,1,1,1,1,18,constant,34,auto,19,25,nnRegressor,2,2,adam,distance,0.9203159286323653,1311.1914281209465
relu,auto,22,mse,1,1,1,1,1,1,1,1,24,constant,32,auto,20,28,nnRegressor,1,1,adam,distance,0.9142565717145505,1311.1914757310878
relu,auto,22,mse,1,1,1,1,1,1,1,1,26,constant,83,auto,20,28,nnRegressor,3,2,adam,distance,0.9198120952965982,1311.1915142599028
relu,auto,23,mse,1,1,1,1,1,1,1,1,29,constant,32,auto,20,28,nnRegressor,2,3,adam,distance,0.9112921962284656,1311.1915524299257
relu,auto,22,mse,1,1,1,1,1,1,1,1,26,constant,53,auto,14,29,nnRegressor,3,4,adam,distance,0.9135843945600253,1311.1915896090213
relu,auto,24,mse,1,1,1,1,1,1,1,1,27,constant,24,auto,17,22,nnRegressor,1,1,adam,distance,0.9098045547444912,1311.191627338063
relu,auto,22,mse,1,1,1,1,1,1,1,1,18,constant,15,auto,14,28,nnRegressor,5,3,adam,distance,0.909904737748889,1311.1916654880624
relu,auto,23,mse,1,1,1,1,1,1,1,1,30,constant,31,auto,18,29,nnRegressor,1,3,adam,distance,0.9198120952965982,1311.1917032669298
relu,auto,17,mse,1,1,1,1,1,1,1,1,30,constant,80,auto,16,22,nnRegressor,2,3,adam,distance,0.8714901720068168,1311.1917401871178
relu,auto,19,mse,1,1,1,1,1,1,1,1,26,constant,13,auto,18,24,nnRegressor,2,2,adam,distance,0.9098045547444912,1311.1917769359425
relu,auto,20,mse,1,1,1,1,1,1,1,1,29,constant,15,auto,15,21,nnRegressor,1,3,adam,distance,0.9027908288987749,1311.1918136260938
relu,auto,22,mse,1,1,1,1,1,1,1,1,27,constant,26,auto,19,24,nnRegressor,1,3,adam,distance,0.9130280196031432,1311.1918500550091
relu,auto,20,mse,1,1,1,1,1,1,1,1,20,constant,46,auto,14,25,nnRegressor,1,2,adam,distance,0.909904737748889,1311.1918865549378
