activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,14,gini,0,1,1,1,0,0,0,0,0,1,1,0,30,adaptive,13,log2,13,28,randomForestClassifier,10,7,adam,distance,0.8608058608058609
logistic,kd_tree,20,gini,1,0,1,0,1,1,1,1,1,0,1,1,20,invscaling,64,log2,2,19,nnClassifier,7,6,adam,uniform,0.6043956043956044
identity,kd_tree,29,gini,0,0,0,0,0,0,0,0,1,1,1,1,3,constant,6,sqrt,14,7,randomForestClassifier,2,1,sgd,distance,0.8058608058608059
tanh,kd_tree,14,gini,1,0,1,0,1,0,1,1,0,0,1,0,8,constant,28,log2,8,7,kneighborsClassifier,8,4,adam,uniform,0.8131868131868132
identity,ball_tree,32,entropy,1,1,1,0,0,0,1,1,0,1,0,1,10,adaptive,12,auto,2,15,kneighborsClassifier,10,7,sgd,distance,0.8034188034188035
tanh,auto,16,entropy,1,0,1,0,0,0,0,1,0,1,0,1,18,constant,88,log2,15,5,kneighborsClassifier,10,8,lbfgs,distance,0.800976800976801
relu,auto,30,entropy,1,1,0,1,1,0,1,0,1,0,0,0,14,adaptive,20,log2,14,39,nnClassifier,3,3,lbfgs,uniform,0.5921855921855922
tanh,auto,18,gini,1,1,1,0,1,1,1,1,0,1,0,0,38,adaptive,9,auto,2,5,kneighborsClassifier,4,4,adam,distance,0.796092796092796
tanh,brute,10,gini,1,1,1,1,0,0,1,1,1,0,0,0,19,constant,20,sqrt,4,30,kneighborsClassifier,8,5,sgd,distance,0.7606837606837606
relu,ball_tree,19,gini,1,0,1,1,1,1,1,0,0,0,0,1,7,adaptive,35,auto,4,18,randomForestClassifier,2,10,sgd,distance,0.9096459096459096
tanh,brute,20,gini,0,0,1,0,0,1,0,0,0,1,0,0,22,invscaling,97,sqrt,19,25,kneighborsClassifier,5,1,sgd,uniform,0.8327228327228328
logistic,ball_tree,18,entropy,0,0,1,1,1,0,0,0,1,0,1,1,6,constant,87,auto,13,16,kneighborsClassifier,10,10,lbfgs,distance,0.800976800976801
relu,brute,18,entropy,1,0,1,0,1,0,1,1,0,1,1,0,18,adaptive,33,sqrt,10,7,nnClassifier,3,3,lbfgs,distance,0.6092796092796092
relu,auto,17,gini,0,1,0,1,1,1,0,0,1,0,0,0,13,constant,50,sqrt,5,36,nnClassifier,8,5,sgd,distance,0.6068376068376068
relu,kd_tree,12,gini,0,1,1,0,1,1,1,0,0,1,1,1,26,constant,82,sqrt,17,20,nnClassifier,3,2,adam,distance,0.6019536019536019
identity,auto,16,gini,1,1,0,0,0,1,0,1,0,1,0,1,27,constant,92,sqrt,14,2,randomForestClassifier,1,5,sgd,uniform,0.8815628815628815
relu,kd_tree,23,gini,1,1,0,0,0,1,1,1,1,1,0,0,9,invscaling,36,sqrt,20,34,randomForestClassifier,10,3,sgd,uniform,0.8791208791208791
identity,kd_tree,25,gini,1,0,0,0,0,1,1,1,1,0,1,0,21,constant,55,sqrt,17,23,randomForestClassifier,10,9,lbfgs,distance,0.8864468864468864
relu,brute,10,entropy,0,1,1,1,0,0,0,1,1,0,1,1,21,constant,2,sqrt,13,26,randomForestClassifier,3,7,adam,distance,0.8547008547008547
logistic,ball_tree,9,gini,0,1,0,0,0,1,1,1,1,0,0,1,10,constant,27,log2,16,21,randomForestClassifier,8,6,adam,uniform,0.8998778998778999
relu,brute,8,gini,0,0,1,0,0,0,1,0,1,0,1,0,33,constant,82,auto,6,34,kneighborsClassifier,3,10,adam,distance,0.7875457875457875
identity,kd_tree,32,entropy,0,0,1,0,0,0,1,1,0,1,1,1,40,adaptive,8,log2,18,10,kneighborsClassifier,5,2,adam,distance,0.7814407814407814
logistic,kd_tree,25,gini,1,1,0,0,1,1,0,0,1,1,1,1,38,invscaling,100,sqrt,16,15,nnClassifier,3,3,adam,uniform,0.6031746031746031
logistic,brute,11,entropy,0,1,1,0,0,0,1,0,1,0,1,1,37,adaptive,6,log2,5,6,nnClassifier,7,6,sgd,distance,0.6105006105006106
relu,brute,30,entropy,0,0,0,1,0,0,0,0,0,0,0,1,18,constant,81,log2,9,36,randomForestClassifier,9,3,sgd,uniform,0.8424908424908425
relu,ball_tree,19,entropy,0,0,1,0,0,1,1,0,1,1,1,1,2,constant,80,log2,13,2,nnClassifier,9,2,lbfgs,uniform,0.5982905982905983
