feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,sqrt,19,30,nan,nan,NA,NA,0.9450431034482759,884.0287368297577
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,log2,20,23,nan,nan,NA,NA,0.9450431034482759,888.8030023574829
1,1,1,nnClassifier,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.9450431034482759,901.3022215366364
1,0,0,nnClassifier,relu,NA,13,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.9450431034482759,919.1010508537292
1,0,0,nnClassifier,tanh,NA,11,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9450431034482759,923.087649345398
1,1,0,nnClassifier,relu,NA,15,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.9450431034482759,940.679532289505
0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9450431034482759,944.2958991527557
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,16,log2,20,10,nan,nan,NA,NA,0.9450431034482759,948.9987626075745
1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,auto,10,40,nan,nan,NA,NA,0.9450431034482759,953.6395757198334
1,1,0,nnClassifier,logistic,NA,19,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.9450431034482759,960.8695142269135
0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9450431034482759,964.3853802680969
0,1,0,nnClassifier,logistic,NA,8,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,0.9450431034482759,968.2641842365265
0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9375,971.8082823753357
1,0,1,nnClassifier,relu,NA,13,NA,nan,adaptive,nan,NA,nan,nan,1,nan,sgd,NA,0.9342672413793104,998.4151575565338
0,1,0,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9450431034482759,1002.014111995697
0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9450431034482759,1005.5194511413574
1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,59,log2,20,39,nan,nan,NA,NA,0.9450431034482759,1009.965488910675
0,1,0,nnClassifier,identity,NA,23,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,0.9450431034482759,1013.6081986427307
1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,29,log2,17,40,nan,nan,NA,NA,0.9450431034482759,1017.9559350013733
