activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,18,gini,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,17,constant,90,sqrt,15,23,kneighborsClassifier,6,3,sgd,uniform,0.5824175824175825
logistic,kd_tree,25,gini,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,13,constant,99,auto,7,7,randomForestClassifier,2,1,sgd,uniform,0.8632478632478633
logistic,kd_tree,25,gini,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,17,constant,90,sqrt,15,23,kneighborsClassifier,6,3,sgd,uniform,0.7301587301587301
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,13,constant,99,auto,7,7,randomForestClassifier,2,1,sgd,uniform,0.6483516483516484
logistic,kd_tree,23,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,invscaling,7,sqrt,20,5,randomForestClassifier,4,4,lbfgs,distance,0.6483516483516484
logistic,kd_tree,25,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6471306471306472
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6471306471306472
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,sgd,distance,0.6471306471306472
logistic,kd_tree,23,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6471306471306472
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,sgd,distance,0.6471306471306472
tanh,brute,14,entropy,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,invscaling,7,sqrt,15,5,randomForestClassifier,4,4,lbfgs,distance,0.6446886446886447
logistic,kd_tree,25,gini,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,17,constant,90,sqrt,15,23,kneighborsClassifier,6,3,sgd,uniform,0.7301587301587301
logistic,kd_tree,25,gini,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,13,constant,99,auto,7,7,randomForestClassifier,2,1,sgd,uniform,0.8632478632478633
tanh,auto,27,gini,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,invscaling,7,sqrt,20,5,randomForestClassifier,4,4,lbfgs,distance,0.6446886446886447
logistic,kd_tree,23,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6385836385836385
logistic,kd_tree,25,gini,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,4,7,adam,distance,0.6422466422466423
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,sgd,distance,0.6471306471306472
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,8,adam,distance,0.6471306471306472
logistic,kd_tree,23,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,sgd,distance,0.6471306471306472
tanh,auto,30,gini,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,invscaling,7,sqrt,15,5,randomForestClassifier,4,4,lbfgs,distance,0.6434676434676435
tanh,brute,14,entropy,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,13,constant,99,auto,7,7,randomForestClassifier,2,1,sgd,uniform,0.6312576312576312
