,feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
64,1,0,1,1,1,kneighborsClassifier,None,auto,None,None,6.0,None,None,None,None,None,None,10.0,None,uniform,0.8277777777777777,ok,135.9540478689596
65,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,77,log2,2,18,None,None,None,None,0.8759259259259259,ok,136.8207998399157
66,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,33,sqrt,9,5,None,None,None,None,0.8814814814814815,ok,137.63235565181822
67,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,32,sqrt,20,10,None,None,None,None,0.8574074074074074,ok,138.3833841048181
68,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,40,sqrt,12,5,None,None,None,None,0.8722222222222222,ok,139.1765748229809
69,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,21,sqrt,17,3,None,None,None,None,0.8648148148148148,ok,139.93586426693946
70,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,31,sqrt,9,9,None,None,None,None,0.8814814814814815,ok,140.74572872486897
71,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,27,sqrt,3,2,None,None,None,None,0.8925925925925926,ok,141.62821717583574
72,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,12,sqrt,3,13,None,None,None,None,0.8833333333333333,ok,142.46654556994326
73,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,15,auto,3,14,None,None,None,None,0.8888888888888888,ok,143.31780367088504
74,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,2,auto,6,24,None,None,None,None,0.7611111111111111,ok,143.7476094509475
75,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,9.0,None,None,None,None,None,None,9.0,None,uniform,0.8444444444444444,ok,143.80428617587313
76,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,26,auto,3,14,None,None,None,None,0.8851851851851852,ok,144.67544765491039
77,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,26,auto,3,15,None,None,None,None,0.8888888888888888,ok,145.5459002808202
78,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,15,auto,7,21,None,None,None,None,0.8833333333333333,ok,146.68170388694853
79,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,11.0,None,None,None,None,None,None,6.0,None,uniform,0.85,ok,146.74066015984863
80,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,5,auto,4,19,None,None,None,None,0.7925925925925926,ok,147.44128011795692
81,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,27,auto,5,12,None,None,None,None,0.7962962962962963,ok,148.06177174579352
82,1,1,1,1,1,nnClassifier,identity,None,26.0,None,None,constant,None,None,None,None,2.0,None,sgd,None,0.6222222222222222,ok,149.22107422584668
83,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,16,auto,6,29,None,None,None,None,0.8685185185185185,ok,150.03258614777587
84,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,2.0,None,None,None,None,None,None,10.0,None,uniform,0.8462962962962963,ok,150.09289824799635
85,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,38,auto,3,40,None,None,None,None,0.8055555555555556,ok,150.67026792094111
86,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,5,auto,4,16,None,None,None,None,0.8222222222222222,ok,151.47451147180982
87,1,1,1,1,1,nnClassifier,relu,None,20.0,None,None,adaptive,None,None,None,None,5.0,None,adam,None,0.5944444444444444,ok,165.07082655490376
88,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,26,auto,7,20,None,None,None,None,0.8759259259259259,ok,165.89173055579886
89,0,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,9,auto,2,8,None,None,None,None,0.8240740740740741,ok,166.45604111393914
90,1,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,14.0,None,None,None,None,None,None,7.0,None,distance,0.8611111111111112,ok,166.499490135815
91,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,44,auto,8,14,None,None,None,None,0.8814814814814815,ok,167.31434674584307
92,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,18,auto,5,25,None,None,None,None,0.8740740740740741,ok,168.13614593981765
93,1,1,1,1,1,nnClassifier,tanh,None,32.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,0.5851851851851851,ok,171.63271993095987
94,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,52,auto,3,18,None,None,None,None,0.7981481481481482,ok,172.4775904219132
95,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,9,log2,6,12,None,None,None,None,0.8722222222222222,ok,173.24697238882072
96,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,24.0,None,None,None,None,None,None,5.0,None,uniform,0.8407407407407408,ok,173.29906027880497
97,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,35,auto,4,28,None,None,None,None,0.8740740740740741,ok,174.12992089497857
98,0,1,1,1,1,nnClassifier,logistic,None,14.0,None,None,constant,None,None,None,None,7.0,None,adam,None,0.6222222222222222,ok,193.05975464591756
99,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,29,auto,2,16,None,None,None,None,0.8037037037037037,ok,193.68090055393986
