activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,8,gini,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,14,invscaling,91,auto,8,33,nnClassifier,7,8,lbfgs,distance,0.12581699346405228
identity,brute,8,gini,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,24,constant,47,sqrt,6,37,randomForestClassifier,2,2,sgd,uniform,0.5800653594771242
logistic,ball_tree,21,gini,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,20,invscaling,70,log2,2,4,randomForestClassifier,2,10,sgd,uniform,0.6127450980392157
relu,ball_tree,8,entropy,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,21,invscaling,70,log2,2,4,randomForestClassifier,2,10,sgd,uniform,0.619281045751634
relu,ball_tree,8,entropy,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,21,invscaling,70,log2,2,4,randomForestClassifier,2,10,sgd,uniform,0.6127450980392157
logistic,ball_tree,21,gini,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,20,invscaling,70,log2,2,4,randomForestClassifier,2,10,sgd,uniform,0.6127450980392157
tanh,kd_tree,22,gini,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,21,invscaling,70,log2,2,4,randomForestClassifier,2,10,sgd,uniform,0.6045751633986928
tanh,kd_tree,22,gini,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,28,constant,96,sqrt,3,19,randomForestClassifier,10,10,lbfgs,uniform,0.6045751633986928
logistic,kd_tree,19,entropy,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,28,constant,96,sqrt,3,19,randomForestClassifier,10,10,lbfgs,uniform,0.5915032679738562
relu,ball_tree,8,entropy,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,28,constant,96,sqrt,3,19,randomForestClassifier,10,10,adam,uniform,0.5915032679738562
logistic,kd_tree,19,entropy,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,12,adaptive,91,sqrt,8,13,randomForestClassifier,8,5,adam,uniform,0.5882352941176471
tanh,kd_tree,8,entropy,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,22,adaptive,31,log2,19,9,kneighborsClassifier,8,7,lbfgs,distance,0.5882352941176471
tanh,kd_tree,8,entropy,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,12,adaptive,91,sqrt,8,13,randomForestClassifier,8,5,adam,uniform,0.5866013071895425
relu,ball_tree,8,entropy,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,21,invscaling,70,log2,2,4,randomForestClassifier,2,10,sgd,uniform,0.6127450980392157
relu,ball_tree,8,entropy,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,20,invscaling,70,log2,2,4,randomForestClassifier,2,10,sgd,uniform,0.619281045751634
logistic,ball_tree,21,gini,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,21,invscaling,70,log2,2,4,randomForestClassifier,2,10,sgd,uniform,0.6127450980392157
