activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,27,gini,0,0,1,1,0,1,1,0,1,0,0,0,1,1,22,invscaling,80,log2,4,5,nnClassifier,8,9,sgd,distance,0.7560240963855421
relu,ball_tree,23,gini,1,1,0,0,0,1,0,0,1,1,0,1,1,1,9,adaptive,87,auto,8,24,nnClassifier,1,8,sgd,distance,0.7168674698795181
logistic,brute,24,gini,0,1,1,1,0,1,1,0,0,0,0,0,1,0,11,adaptive,44,log2,20,33,kneighborsClassifier,10,4,adam,uniform,0.9096385542168675
tanh,kd_tree,11,entropy,1,1,0,1,1,0,1,1,1,1,0,1,1,0,14,invscaling,89,auto,19,23,randomForestClassifier,8,3,adam,distance,0.9759036144578314
relu,auto,21,gini,1,1,0,0,1,1,0,0,0,1,1,1,1,1,33,invscaling,76,log2,8,3,randomForestClassifier,7,3,sgd,distance,0.9578313253012049
relu,auto,24,gini,0,0,1,0,1,0,0,1,1,1,0,0,0,1,5,invscaling,57,auto,7,12,kneighborsClassifier,8,7,lbfgs,distance,0.9708835341365462
tanh,brute,24,entropy,0,1,1,1,1,0,1,1,0,0,1,1,0,1,20,adaptive,4,auto,12,21,nnClassifier,9,4,sgd,uniform,0.7299196787148594
tanh,brute,32,gini,1,1,1,1,0,1,1,1,1,0,1,0,1,1,24,invscaling,63,auto,11,23,nnClassifier,8,6,sgd,uniform,0.7469879518072289
logistic,kd_tree,24,gini,1,0,1,1,1,1,0,1,1,1,1,1,1,0,20,constant,83,log2,17,6,randomForestClassifier,9,1,adam,uniform,0.9799196787148594
logistic,brute,19,gini,1,0,1,1,0,1,1,1,0,1,1,1,1,1,12,adaptive,68,log2,18,28,kneighborsClassifier,9,3,adam,uniform,0.9899598393574297
logistic,brute,12,entropy,1,1,0,0,0,1,1,1,0,0,1,0,1,1,22,constant,31,log2,8,10,randomForestClassifier,10,3,adam,distance,0.9497991967871486
logistic,brute,8,gini,1,0,1,0,0,1,0,0,1,0,0,0,0,0,31,invscaling,26,auto,4,24,randomForestClassifier,4,3,lbfgs,distance,0.9467871485943775
identity,auto,22,entropy,1,0,0,1,0,1,0,1,0,1,0,1,0,1,3,adaptive,3,sqrt,9,10,kneighborsClassifier,6,10,lbfgs,uniform,0.927710843373494
relu,kd_tree,13,entropy,1,1,0,0,1,1,1,1,0,0,1,0,1,1,9,adaptive,65,sqrt,6,15,nnClassifier,8,7,adam,distance,0.7259036144578314
