activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,24,gini,0,0,0,1,1,1,29,adaptive,23,sqrt,19,13,nnClassifier,6,9,sgd,distance,1.0
tanh,brute,18,entropy,0,1,1,1,1,1,34,invscaling,61,sqrt,8,24,nnClassifier,1,2,adam,uniform,1.0
identity,kd_tree,26,gini,1,0,0,1,1,0,20,constant,31,sqrt,19,25,nnClassifier,1,3,adam,distance,1.0
logistic,brute,17,gini,1,1,0,0,0,0,6,constant,88,sqrt,11,8,kneighborsClassifier,4,8,sgd,uniform,0.9803220035778175
tanh,ball_tree,8,entropy,0,1,1,1,0,1,9,adaptive,87,log2,2,33,randomForestClassifier,8,7,sgd,distance,0.9847942754919499
logistic,auto,10,entropy,1,0,0,0,0,1,29,adaptive,99,sqrt,7,37,kneighborsClassifier,2,10,sgd,distance,0.9794275491949911
identity,ball_tree,31,entropy,1,1,0,0,1,1,13,constant,78,log2,5,19,nnClassifier,10,9,adam,distance,1.0
relu,brute,13,entropy,0,0,0,1,0,0,30,adaptive,95,log2,5,35,kneighborsClassifier,9,9,adam,distance,0.9785330948121646
identity,kd_tree,28,gini,0,0,0,0,1,1,27,invscaling,72,log2,19,22,nnClassifier,1,6,lbfgs,distance,1.0
logistic,kd_tree,22,gini,1,0,0,0,0,1,38,constant,90,log2,9,4,kneighborsClassifier,10,2,lbfgs,distance,0.9695885509838998
tanh,kd_tree,15,entropy,1,1,1,0,1,1,8,invscaling,47,auto,2,37,nnClassifier,10,7,adam,uniform,1.0
relu,kd_tree,13,gini,1,1,0,0,0,0,5,adaptive,84,sqrt,9,2,randomForestClassifier,2,10,lbfgs,uniform,0.9821109123434705
relu,ball_tree,14,entropy,1,0,1,0,0,1,16,invscaling,55,log2,16,11,nnClassifier,8,5,adam,uniform,1.0
logistic,auto,15,entropy,0,0,0,1,1,1,27,adaptive,37,sqrt,14,39,randomForestClassifier,8,2,lbfgs,uniform,0.9892665474060823
logistic,brute,25,gini,0,0,0,0,0,1,28,invscaling,8,log2,3,25,kneighborsClassifier,1,6,lbfgs,uniform,0.9776386404293381
identity,ball_tree,26,gini,0,0,1,0,0,0,32,invscaling,100,sqrt,10,21,randomForestClassifier,6,6,lbfgs,uniform,0.9776386404293381
logistic,auto,27,gini,1,1,0,0,1,0,35,constant,91,sqrt,15,33,kneighborsClassifier,3,2,sgd,distance,0.9856887298747764
relu,brute,13,entropy,0,0,0,0,0,0,24,invscaling,69,auto,12,27,nnClassifier,5,7,lbfgs,uniform,0
identity,ball_tree,8,gini,1,0,0,0,1,0,25,constant,24,sqrt,12,34,nnClassifier,8,5,lbfgs,distance,1.0
relu,brute,17,entropy,0,1,0,0,1,0,17,adaptive,15,log2,4,35,nnClassifier,4,2,lbfgs,distance,1.0
identity,kd_tree,29,entropy,1,1,1,1,0,1,16,constant,11,log2,5,15,randomForestClassifier,10,2,lbfgs,distance,0.9847942754919499
relu,ball_tree,9,entropy,1,1,0,1,1,0,38,adaptive,25,auto,17,12,kneighborsClassifier,4,1,sgd,distance,0.9865831842576028
tanh,brute,19,entropy,0,1,0,1,0,0,13,adaptive,43,auto,18,18,nnClassifier,10,8,sgd,distance,1.0
relu,ball_tree,19,entropy,1,0,1,0,1,1,24,adaptive,71,log2,4,17,randomForestClassifier,7,8,adam,distance,0.9865831842576028
relu,kd_tree,11,entropy,0,0,1,0,0,1,6,constant,53,log2,13,31,randomForestClassifier,5,4,lbfgs,uniform,0.983005366726297
tanh,kd_tree,11,entropy,0,1,1,1,1,1,23,invscaling,18,log2,11,10,nnClassifier,7,10,lbfgs,uniform,1.0
identity,brute,27,gini,1,0,1,0,1,1,19,adaptive,30,auto,20,27,kneighborsClassifier,8,2,adam,distance,0.9794275491949911
identity,brute,23,entropy,1,0,0,1,0,1,21,adaptive,86,log2,5,5,nnClassifier,6,9,adam,uniform,1.0
relu,ball_tree,18,gini,0,1,0,1,0,0,37,constant,65,log2,5,6,kneighborsClassifier,1,3,lbfgs,distance,0.9695885509838998
logistic,brute,11,entropy,1,1,0,0,0,0,35,adaptive,44,auto,19,11,nnClassifier,2,3,lbfgs,distance,1.0
relu,ball_tree,8,gini,1,1,1,1,0,1,19,adaptive,32,sqrt,9,11,kneighborsClassifier,6,7,adam,uniform,0.9856887298747764
logistic,auto,18,entropy,0,1,0,0,0,1,37,constant,88,log2,3,32,randomForestClassifier,2,8,adam,distance,0.9776386404293381
identity,brute,31,entropy,1,1,1,0,0,0,28,invscaling,64,log2,16,17,kneighborsClassifier,5,10,adam,distance,0.9821109123434705
relu,brute,26,entropy,0,0,0,1,1,0,34,constant,100,log2,10,33,randomForestClassifier,4,1,sgd,uniform,0.9883720930232558
relu,kd_tree,21,gini,0,1,0,0,1,0,22,constant,67,auto,17,18,randomForestClassifier,6,1,lbfgs,distance,0.9838998211091234
tanh,kd_tree,29,gini,0,1,0,1,1,1,34,adaptive,95,log2,13,24,nnClassifier,4,8,lbfgs,distance,1.0
identity,kd_tree,26,gini,1,1,0,1,0,1,10,invscaling,80,sqrt,6,22,nnClassifier,7,1,sgd,uniform,1.0
tanh,brute,23,entropy,1,0,1,1,0,1,19,constant,30,log2,3,15,kneighborsClassifier,7,9,sgd,uniform,0.9856887298747764
